arms_cluster_id,object_signature_cluster_id,leg_pose_variant,mult_top,mult_right,mult_bottom,mult_left
2,9080,1.0,3.5,8.0,7.0,6.0
2,9080,4.0,3.5,4.5,11.5,6.0
2,9080,5.0,3.5,7.5,12.5,6.5
20,9083,,2.0,3.5,5.5,4.5
200,1,,1.5,3.5,3.0,3.5
200,9069,,2.0,4.0,3.5,4.0
200,9080,,2.0,6.0,4.0,5.5
201,1,,1.5,3.0,4.5,3.0
202,1,,1.5,2.5,2.5,2.5
203,1,,1.5,2.5,5.0,2.5
203,9069,,2.0,2.5,5.5,3.0
205,1,,1.5,3.5,6.0,3.5
205,604,,2.0,3.5,6.0,3.5
205,9069,,2.0,4.5,9.5,4.5
205,9082,,2.0,4.0,6.5,4.0
205,91,,2.0,4.0,5.5,3.0
206,1,,1.5,2.5,4.0,5.5
206,9080,,2.0,5.0,5.5,7.5
207,1,,1.5,2.5,4.0,2.5
207,9083,,2.0,3.0,5.0,3.0
208,1,,1.5,5.0,5.5,5.0
208,9080,,2.0,7.5,6.5,7.0
21,1,,1.5,2.0,2.5,2.0
21,9069,,2.0,3.0,5.5,3.0
21,9081,,2.0,3.0,5.0,3.0
210,1,,1.5,2.0,5.0,3.5
211,1,,2.0,3.0,4.5,3.0
212,9069,,3.0,3.5,7.0,3.5
214,1,,3.5,3.0,4.5,10.0
214,9080,,4.0,5.0,6.0,11.0
215,1,,1.5,2.5,3.0,2.5
216,1,,1.5,2.5,5.0,2.5
217,1,,2.0,3.5,7.0,3.5
217,9080,,3.5,7.5,8.5,7.5
217,9083,,4.0,3.5,8.0,3.5
218,1,,1.5,3.0,4.5,3.0
218,9081,,2.0,3.0,4.0,3.0
219,1,,1.5,4.5,8.5,4.5
219,9073,,2.5,8.5,9.0,4.5
220,1,,1.5,3.5,5.0,3.5
220,9080,,2.0,4.5,5.5,5.5
221,9069,,2.0,3.0,5.0,3.0
221,9081,,2.0,3.0,5.0,3.0
222,1,,1.5,4.0,6.0,4.0
222,9069,,2.0,4.5,7.0,4.5
222,9073,,2.0,8.0,7.0,8.0
222,9080,,2.0,7.0,7.0,7.5
223,1,,1.5,3.0,4.5,3.0
224,9080,,2.0,10.5,8.0,7.0
225,1,,1.5,3.0,5.5,3.0
225,9069,,2.0,3.5,10.5,3.5
226,9083,,2.0,3.5,8.5,4.0
227,1,,1.5,2.5,3.5,2.5
228,9080,,2.5,6.5,11.0,10.0
229,1,,3.5,3.5,7.0,3.5
229,9069,,4.0,3.5,10.0,3.5
229,9083,,4.5,3.5,7.0,3.5
230,9078,,2.0,3.5,5.5,3.5
230,9082,,2.0,4.5,5.5,4.0
232,9069,,2.0,3.0,5.0,3.0
232,9080,,2.0,7.0,7.5,7.0
232,9081,,2.0,3.0,5.0,3.0
233,9080,,4.0,11.5,5.0,5.0
234,1,,1.5,3.5,6.0,3.5
234,9069,,2.0,4.0,8.5,4.0
234,9070,,2.0,4.0,10.0,4.0
234,9080,,2.0,7.0,7.0,7.0
234,9109,,2.0,4.5,9.0,4.5
235,1,,1.5,3.0,5.0,3.0
235,9081,,2.0,3.5,6.0,3.0
236,1,,2.0,6.0,7.0,1.5
236,9069,,2.0,7.0,9.0,2.0
236,9069,2.0,3.5,8.5,6.5,3.5
236,9069,3.0,3.5,5.5,6.5,3.5
236,9069,5.0,3.5,6.0,10.0,3.5
236,9073,,2.0,8.5,8.5,2.5
236,9080,,2.0,11.5,7.5,5.5
236,9082,,2.0,7.5,9.0,2.0
237,1,,1.5,3.5,6.0,3.5
237,9080,,2.0,7.0,7.0,5.5
238,1,,1.5,2.5,4.0,2.5
238,9069,,2.0,3.0,5.0,3.0
238,9081,,2.0,3.0,7.5,3.0
239,1,,1.5,2.5,3.5,2.5
239,9081,,2.0,3.0,4.5,3.0
24,9080,,4.0,10.5,5.0,5.5
240,1,,1.5,3.0,5.5,3.0
240,9069,,2.0,3.5,5.5,3.5
240,9080,,2.0,7.0,7.0,7.0
241,1,,1.5,3.0,5.0,3.0
242,1,,1.5,2.0,4.0,3.5
243,1,,1.5,3.0,5.0,3.0
244,1,,1.5,2.5,6.0,7.5
244,9080,,2.0,5.0,7.5,10.5
245,1,,1.5,2.5,4.5,2.5
245,9069,,2.0,3.5,5.5,2.5
245,9083,,2.0,3.5,5.0,3.0
246,9080,,2.0,8.5,7.5,8.0
247,1,,1.5,3.0,6.0,3.0
248,1,,1.5,3.5,8.0,7.0
248,9080,,2.0,7.5,7.5,11.0
249,1,,1.5,2.5,5.0,2.5
249,9082,,2.0,2.5,5.0,3.0
25,1,,1.5,3.0,6.5,4.5
25,9069,,2.0,4.0,6.5,4.0
25,9080,,2.0,6.0,11.5,8.5
25,9083,,2.0,4.0,5.5,5.0
250,1,,1.5,2.5,5.0,2.5
251,9080,,2.0,7.0,6.0,4.5
252,1,,1.5,3.0,4.5,3.0
252,9069,,2.0,3.5,5.0,3.5
252,9073,,2.0,7.5,10.0,7.5
253,1,,1.5,3.5,6.0,3.5
253,9069,,2.0,4.5,9.0,4.5
253,9083,,2.0,4.0,6.5,4.0
254,1,,1.5,3.0,3.5,3.0
256,1,,1.5,2.0,3.5,2.0
257,1,,1.5,2.5,5.5,4.0
257,9069,,2.0,2.5,5.5,5.0
257,9080,,2.0,7.5,10.5,7.5
257,9081,,2.0,3.5,5.5,4.5
258,1,,1.5,3.5,6.0,3.5
259,1,,1.5,2.5,3.5,2.5
26,9069,,2.0,3.5,5.5,3.5
26,9073,,2.0,7.5,10.0,8.0
26,9081,,2.0,4.0,5.0,4.0
260,1,,2.0,3.0,5.5,3.0
260,9069,,2.5,3.5,7.0,3.5
260,9080,,2.5,8.0,10.5,9.5
261,1,,1.5,3.0,4.5,3.0
262,1,,1.5,3.0,4.0,3.0
263,1,,1.5,3.5,3.0,3.5
263,9069,,2.0,4.0,5.0,4.0
264,1,,1.5,2.5,6.5,2.5
265,1,,1.5,2.5,5.0,2.5
266,9087,,2.0,3.5,5.0,3.5
267,1,,4.0,8.5,5.5,1.5
267,9080,,6.0,12.5,7.0,4.0
268,1,,1.5,2.5,7.5,4.5
268,9069,,2.0,2.5,9.5,5.5
268,9080,,2.0,8.0,11.0,8.5
268,9080,1.0,3.5,7.5,8.5,8.0
268,9080,2.0,3.5,7.5,9.0,8.0
268,9080,4.0,3.5,9.0,11.5,6.5
268,9080,5.0,3.5,8.5,12.5,7.0
268,9081,,2.0,4.0,11.0,5.0
269,1,,1.5,2.0,5.5,4.0
27,1,,1.5,3.0,5.0,3.0
270,25,,2.0,3.0,5.5,3.0
271,9069,,2.0,6.0,9.5,6.0
271,9080,,2.0,7.5,11.0,7.5
272,1,,1.5,3.0,5.0,3.0
272,25,,2.0,3.0,5.0,3.0
272,9069,,2.0,3.5,5.0,3.5
272,9080,,2.0,6.5,7.5,7.0
272,9101,,2.0,3.0,8.0,3.0
273,1,,1.5,3.0,5.5,3.0
273,9069,,2.0,3.0,6.5,3.0
274,1,,1.5,3.0,5.0,3.0
274,9069,,2.0,3.0,5.5,3.0
275,1,,2.0,1.5,5.0,7.0
275,9080,,2.0,4.0,5.5,9.5
276,9069,,2.0,3.0,5.0,3.0
277,1,,1.5,2.5,6.0,2.5
277,9069,,2.0,3.0,5.5,3.0
