arms_cluster_id,object_signature_cluster_id,mult_top,mult_right,mult_bottom,mult_left
357,1,2.0,9.5,6.0,2.5
357,9080,2.0,11.0,7.0,5.0
360,1,1.5,6.5,6.5,6.5
361,1,1.5,3.5,10.0,3.5
363,1,1.5,2.0,7.0,9.5
363,9080,2.0,5.0,8.0,11.0
364,1,2.0,5.5,6.0,5.5
365,1,4.0,3.5,11.0,7.5
365,9080,5.5,6.0,11.5,11.5
366,1,1.5,5.5,7.5,3.5
367,1,1.5,3.5,6.5,7.0
367,9080,2.0,7.0,7.5,9.0
369,1,1.5,3.0,10.0,3.0
370,1,2.0,4.0,8.5,4.0
371,1,3.5,4.0,12.0,4.0
372,1,4.0,4.0,11.0,4.0
374,1,1.5,6.0,6.5,2.5
374,9080,2.0,9.0,8.0,8.0
375,1,1.5,3.5,7.5,7.0
375,9080,2.0,6.0,7.5,9.0
376,1,1.5,4.0,7.5,4.0
376,9080,2.0,10.5,9.0,7.5
378,1,1.5,4.0,10.0,9.0
378,9080,2.0,7.5,10.5,11.0
379,1,1.5,3.0,11.5,3.0
380,1,1.5,3.5,7.0,3.5
380,9080,2.0,7.5,7.5,7.5
381,1,1.5,3.5,11.5,3.5
382,1,1.5,5.0,10.5,5.0
383,1,1.5,3.0,11.5,3.0
384,1,4.0,5.0,11.0,5.0
385,1,1.5,4.0,11.5,4.0
386,1,1.5,3.5,11.0,3.5
386,217,2.0,4.5,12.5,4.0
386,9069,2.0,4.0,11.0,4.0
386,9073,2.0,7.0,12.0,7.0
387,1,4.0,3.5,6.5,5.0
388,1,1.5,7.5,7.0,4.0
388,9080,2.0,10.0,7.5,5.5
389,1,3.0,4.5,10.0,4.5
390,1,1.5,4.5,12.5,4.5
391,1,1.5,3.0,11.0,3.0
392,1,1.5,4.0,7.5,5.5
392,9080,2.0,6.5,8.0,9.5
393,1,1.5,7.0,9.5,7.0
393,9080,2.0,7.5,9.5,9.5
393,9083,2.0,4.0,10.0,7.0
394,1,7.5,4.5,3.0,4.5
395,1,1.5,7.0,6.0,7.0
395,9080,2.0,7.5,6.5,7.5
396,1,1.5,3.5,9.0,3.5
397,1,1.5,4.0,9.0,4.0
398,1,1.5,4.0,6.0,4.0
398,9080,2.0,7.0,7.0,7.5
399,1,1.5,3.0,11.5,3.0
400,1,2.0,3.0,10.5,6.5
401,1,1.5,3.0,6.5,5.0
401,9080,2.0,6.0,7.5,7.0
403,1,1.5,7.5,7.0,3.5
403,9080,2.0,9.5,7.5,6.5
404,1,1.5,4.0,7.0,7.0
405,1,1.5,3.5,9.5,6.5
405,9080,2.0,6.5,10.0,11.0
406,1,2.0,3.5,6.0,8.0
408,1,1.5,3.5,11.0,3.5
408,9069,2.0,3.5,11.0,3.5
409,1,1.5,3.5,8.5,3.5
410,1,2.5,4.5,11.5,4.5
411,1,2.0,4.5,11.5,4.5
412,1,1.5,3.5,6.0,3.5
413,1,3.5,3.5,11.5,3.5
414,1,5.5,8.5,4.0,2.5
416,1,1.5,6.0,7.0,3.0
417,1,2.0,3.5,11.5,3.5
419,1,2.0,4.0,11.5,4.0
420,1,2.0,6.0,11.5,6.0
421,1,1.5,6.0,4.5,3.5
422,1,1.5,5.0,11.5,2.5
424,1,1.5,4.0,6.0,4.0
425,1,4.0,4.5,8.0,4.5
426,1,2.0,9.5,7.5,2.5
427,1,1.5,3.0,9.0,5.0
428,217,2.0,7.0,12.5,4.5
429,1,1.5,6.0,10.0,4.0
429,9080,2.0,10.0,9.5,6.5
430,1,3.5,3.5,11.5,5.0
431,1,1.5,4.0,11.0,4.0
432,1,1.5,3.5,6.0,3.5
434,217,2.0,3.0,11.5,3.5
436,1,1.5,5.5,10.5,5.5
437,1,1.5,8.0,9.0,4.0
437,9080,2.0,11.0,9.5,6.5
438,1,1.5,3.5,11.0,3.5
440,1,1.5,4.0,10.5,7.0
441,1,1.5,3.0,11.5,3.0
442,1,1.5,3.5,7.0,3.5
443,1,1.5,3.0,11.0,3.0
444,1,1.5,4.0,8.5,4.0
445,1,1.5,4.0,6.5,4.0
445,9080,2.0,10.5,9.5,7.5
446,1,3.0,2.5,3.5,6.0
447,1,2.0,3.5,11.5,3.5
448,1,1.5,3.5,5.0,3.5
449,1,1.5,7.0,11.0,4.5
450,1,1.5,3.5,7.0,3.5
450,9080,2.0,9.5,7.0,6.5
452,1,3.0,3.0,4.0,9.0
454,1,4.0,3.0,11.0,4.5
455,1,4.0,6.5,10.5,4.5
456,9080,3.0,8.0,8.0,7.5
457,1,1.5,5.0,10.5,5.0
458,1,1.5,3.0,11.5,6.0
459,1,1.5,3.5,11.5,3.5
460,1,1.5,3.0,11.5,3.0
462,1,1.5,4.0,11.0,4.0
464,1,1.5,3.5,11.0,3.5
465,1,1.5,5.0,6.5,3.5
465,9080,2.0,7.0,6.5,7.0
467,9073,2.5,7.5,11.0,3.5
468,1,1.5,4.5,9.0,2.5
468,217,2.0,6.0,11.5,4.5
468,9073,2.0,9.0,9.0,5.0
469,1,2.0,6.0,9.0,6.0
470,1,1.5,4.5,7.0,4.5
470,9073,3.0,9.5,9.0,5.5
471,1,1.5,3.0,11.0,3.0
471,9080,2.0,7.0,11.5,7.0
472,1,1.5,6.0,10.0,6.0
472,9080,2.0,7.0,11.5,9.5
473,1,3.0,4.0,11.0,4.0
473,9069,3.0,4.0,11.5,4.0
474,1,1.5,3.0,7.5,3.0
475,1,1.5,5.0,7.5,3.0
476,217,2.0,8.0,12.5,6.5
478,1,4.0,6.5,6.5,6.5
478,9080,4.0,8.0,7.0,9.0
480,1,4.0,4.0,7.0,4.0
481,1,3.0,3.0,11.0,8.0
481,9081,3.0,3.0,11.5,9.0
482,1,3.5,7.5,4.0,1.5
482,9080,3.5,10.0,5.5,4.0
483,1,3.5,1.5,5.5,12.0
483,9080,4.0,4.0,6.0,14.0
485,1,6.0,3.0,6.5,11.5
485,9080,6.0,4.5,7.5,13.0
486,1,1.5,4.5,11.5,4.5
487,1,1.5,4.5,9.0,4.5
489,1,1.5,7.5,10.5,4.0
490,1,1.5,3.5,9.0,6.5
492,1,2.0,4.0,8.5,4.0
497,1,1.5,3.5,7.5,6.5
497,9080,2.0,7.0,8.5,9.5
498,1,1.5,5.0,11.5,3.0
499,1,3.0,6.5,5.5,6.5
499,9080,3.0,7.5,6.5,7.5
500,1,3.0,6.0,4.0,2.5
502,1,1.5,3.0,11.5,3.0
503,1,1.5,3.5,11.0,3.5
504,1,1.5,6.5,9.0,3.0
505,1,1.5,4.0,10.5,4.0
507,1,1.5,4.5,6.0,4.5
508,1,1.5,3.5,11.5,3.5
509,1,3.5,4.0,11.5,4.0
510,1,2.0,3.5,11.5,3.5
511,1,4.0,7.5,6.5,7.5
511,9080,4.0,8.5,7.0,8.0
512,1,1.5,3.5,6.5,5.0
514,1,1.5,3.5,7.0,3.5
515,1,4.0,6.0,9.5,6.0
515,9080,4.0,7.5,10.5,8.5
516,1,1.5,3.5,8.5,3.5
516,217,2.0,3.5,11.5,3.5
516,9073,2.0,7.5,9.0,8.0
518,1,4.0,6.5,6.5,6.5
518,9080,4.0,9.0,7.0,8.0
519,1,1.5,5.5,11.0,4.0
520,1,1.5,3.5,6.5,3.5
520,9080,2.0,7.0,6.5,7.5
522,1,1.5,3.0,7.0,6.5
523,1,1.5,3.5,7.5,3.5
524,1,1.5,6.5,9.5,3.5
525,1,1.5,3.5,6.5,7.5
525,9080,2.0,6.0,7.0,10.0
526,1,1.5,3.0,7.0,3.0
526,9080,2.0,4.5,7.0,4.5
527,1,1.5,3.0,11.0,3.0
529,1,1.5,3.5,6.0,3.5
529,9080,2.0,5.0,7.0,6.5
531,1,4.5,2.0,6.5,9.5
532,1,3.5,4.5,4.0,4.5
533,1,1.5,3.5,11.5,3.5
534,1,4.0,5.0,10.5,5.0
535,1,1.5,4.5,6.5,3.0
535,9080,2.0,7.5,7.5,7.5
536,1,1.5,3.0,11.0,3.0
537,1,1.5,3.5,11.0,3.5
537,9069,2.0,3.5,11.0,3.5
541,1,3.0,4.5,12.0,4.5
543,9080,2.0,7.5,8.5,6.5
544,1,1.5,9.0,6.5,2.5
544,9080,2.0,11.5,7.5,6.5
545,1,3.0,2.0,3.5,5.5
547,1,4.0,5.0,11.5,5.0
548,1,1.5,7.5,6.0,2.5
548,9080,2.0,9.5,7.0,4.5
550,1,5.0,8.5,10.5,3.5
550,9080,6.0,11.5,10.0,5.5
551,1,1.5,3.0,11.0,3.0
552,1,1.5,4.0,11.5,4.0
554,1,4.5,4.5,10.0,4.5
554,9080,4.5,8.0,9.5,7.5
555,1,1.5,4.0,10.5,2.5
556,1,1.5,3.5,7.0,3.5
557,217,2.0,8.0,12.0,6.5
559,1,2.0,3.5,11.5,3.5
560,1,3.0,4.0,11.0,4.0
561,1,1.5,3.5,11.5,3.5
563,1,1.5,3.0,8.0,5.0
563,7,2.0,4.5,9.0,4.5
564,1,1.5,6.0,7.0,3.5
564,9080,2.0,8.0,7.0,6.5
565,1,1.5,3.5,11.0,3.5
567,1,1.5,5.0,11.5,7.0
568,1,3.5,2.5,11.0,4.0
568,9080,3.5,7.0,12.0,8.0
