ihp_cluster,ihg_0,ihg_1,ihg_2,ihg_3,ihg_4,ihg_5,ihg_6,ihg_7,ihg_8,ihg_9,ihg_10,ihg_11,ihg_12,ihg_13,ihg_14,ihg_15,ihg_16,ihg_17,ihg_18,ihg_19,ihg_20,ihg_21,ihg_22,ihg_23,ihg_24,ihg_25,ihg_26,ihg_27,ihg_28,ihg_29,ihg_30,ihg_31,ihg_32,ihg_33,ihg_34,ihg_35,ihg_36,ihg_37,ihg_38,ihg_39,ihg_40,ihg_41,ihg_42,ihg_43,ihg_44,ihg_45,ihg_46,ihg_47,ihg_48,ihg_49,ihg_50,ihg_51,ihg_52,ihg_53,ihg_54,ihg_55,ihg_56,ihg_57,ihg_58,ihg_59,ihg_60,ihg_61,ihg_62,ihg_63,ihg_64,ihg_65,ihg_66,ihg_67,ihg_68,ihg_69,ihg_70,ihg_71,ihg_72,ihg_73,ihg_74,ihg_75,ihg_76,ihg_77,ihg_78,ihg_79,ihg_80,ihg_81,ihg_82,ihg_83,ihg_84,ihg_85,ihg_86,ihg_87,ihg_88,ihg_89,ihg_90,ihg_91,ihg_92,ihg_93,ihg_94,ihg_95,ihg_96,ihg_97,ihg_98,ihg_99,ihg_100,ihg_101,ihg_102,ihg_103,ihg_104,ihg_105,ihg_106,ihg_107,ihg_108,ihg_109,ihg_110,ihg_111,ihg_112,ihg_113,ihg_114,ihg_115,ihg_116,ihg_117,ihg_118,ihg_119,ihg_120,ihg_121,ihg_122,ihg_123,ihg_124,ihg_125,ihg_126,ihg_127
10,0.0,2.0,0.0,0.0,4.0,0.0,3.0,20.0,55.0,33.0,5.0,26.0,32.0,8.0,0.0,10.0,8.0,0.0,0.0,12.0,7.0,0.0,0.0,25.0,4.0,5.0,2.0,1.0,0.0,20.0,0.0,284.0,1.0,79.0,0.0,0.0,0.0,0.0,0.0,97.0,20.0,3.0,28.0,0.0,0.0,0.0,5.0,18.0,0.0,0.0,22.0,37.0,0.0,0.0,11.0,0.0,12.0,0.0,12.0,4.0,11.0,0.0,895.0,55.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,254.0,0.0,34.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,61.0,7.0,40.0,0.0,33.0,0.0,55.0,21.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,13.0,3.0,0.0,0.0,2.0,4.0,14.0,0.0,23.0,2.0,32.0,0.0,0.0,18.0,0.0
11,12.0,3.0,15.0,112.0,2.0,21.0,6.0,0.0,0.0,0.0,0.0,1.0,383.0,3.0,10.0,8.0,12.0,599.0,5.0,44.0,62.0,6.0,5.0,3.0,15.0,201.0,6.0,115.0,6.0,0.0,3.0,15.0,0.0,167.0,11.0,8.0,1.0,10.0,2.0,22.0,0.0,0.0,3.0,7.0,6.0,1.0,0.0,0.0,462.0,0.0,5.0,1.0,136.0,2.0,2.0,8.0,1.0,0.0,6.0,2.0,0.0,0.0,18.0,58.0,0.0,13.0,0.0,0.0,2.0,1.0,25.0,325.0,3.0,3.0,15.0,55.0,86.0,6.0,3.0,17.0,1.0,2.0,0.0,0.0,5.0,12.0,1.0,5.0,1.0,33.0,0.0,1.0,9.0,37.0,0.0,3.0,7.0,10.0,1.0,6.0,29.0,2.0,80.0,83.0,0.0,0.0,129.0,16.0,372.0,7.0,5.0,16.0,11.0,2.0,2.0,9.0,13.0,122.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,3.0,263.0
12,0.0,0.0,28.0,16.0,2.0,6.0,67.0,4.0,0.0,2.0,25.0,7.0,66.0,0.0,0.0,3.0,97.0,0.0,0.0,612.0,108.0,1.0,0.0,23.0,581.0,10.0,13.0,575.0,0.0,1.0,5.0,10.0,0.0,315.0,1.0,0.0,0.0,0.0,0.0,137.0,2.0,0.0,19.0,0.0,94.0,0.0,67.0,6.0,2.0,0.0,0.0,7.0,11.0,0.0,0.0,2.0,1.0,0.0,9.0,0.0,0.0,0.0,33.0,154.0,0.0,1.0,0.0,1.0,1.0,21.0,33.0,7.0,2.0,15.0,1.0,275.0,0.0,27.0,0.0,95.0,7.0,52.0,41.0,0.0,4.0,55.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,464.0,43.0,18.0,0.0,16.0,0.0,19.0,255.0,1.0,0.0,12.0,0.0,0.0,41.0,9.0,10.0,0.0,2.0,0.0,10.0,7.0,34.0,0.0,0.0,34.0,618.0,3.0,0.0,1.0,18.0,17.0,0.0,0.0,25.0,28.0
13,95.0,7.0,487.0,978.0,0.0,23.0,131.0,4.0,1.0,1.0,3.0,22.0,450.0,25.0,13.0,320.0,18.0,17.0,141.0,139.0,186.0,19.0,0.0,3.0,195.0,62.0,26.0,284.0,23.0,7.0,26.0,3.0,0.0,120.0,10.0,2.0,1.0,11.0,0.0,21.0,4.0,38.0,11.0,3.0,12.0,2.0,4.0,3.0,79.0,6.0,4.0,15.0,129.0,6.0,0.0,176.0,6.0,4.0,1.0,9.0,1.0,0.0,19.0,54.0,0.0,100.0,0.0,3.0,37.0,17.0,28.0,216.0,4.0,9.0,28.0,59.0,582.0,7.0,0.0,19.0,18.0,76.0,118.0,5.0,11.0,116.0,1.0,4.0,5.0,9.0,6.0,0.0,20.0,99.0,1.0,3.0,3.0,10.0,0.0,1.0,59.0,42.0,0.0,434.0,0.0,5.0,649.0,0.0,77.0,281.0,17.0,3.0,35.0,2.0,4.0,2.0,286.0,497.0,207.0,1.0,0.0,0.0,14.0,1.0,0.0,14.0,7.0,224.0
14,0.0,0.0,0.0,0.0,13.0,0.0,5.0,10.0,4.0,135.0,96.0,5.0,15.0,0.0,1.0,2.0,8.0,5.0,0.0,2.0,18.0,145.0,10.0,35.0,0.0,12.0,62.0,5.0,211.0,9.0,0.0,194.0,79.0,6.0,121.0,95.0,1.0,1.0,39.0,16.0,2.0,3.0,0.0,13.0,10.0,298.0,21.0,43.0,3.0,8.0,127.0,0.0,0.0,80.0,5.0,45.0,10.0,1.0,3.0,12.0,65.0,106.0,2.0,6.0,2.0,115.0,87.0,60.0,0.0,152.0,0.0,8.0,3.0,2.0,14.0,7.0,0.0,7.0,3.0,2.0,13.0,1.0,1.0,0.0,0.0,13.0,259.0,0.0,48.0,27.0,28.0,0.0,251.0,1.0,43.0,13.0,5.0,0.0,22.0,1.0,3.0,0.0,71.0,0.0,13.0,4.0,4.0,99.0,12.0,5.0,160.0,14.0,1.0,3.0,81.0,31.0,0.0,7.0,0.0,25.0,7.0,15.0,5.0,2.0,10.0,109.0,0.0,14.0
15,15.0,0.0,1.0,1.0,21.0,1.0,41.0,33.0,5.0,60.0,27.0,0.0,5.0,1.0,67.0,0.0,4.0,13.0,38.0,0.0,11.0,13.0,177.0,25.0,0.0,37.0,21.0,1.0,201.0,5.0,2.0,66.0,269.0,1.0,75.0,168.0,28.0,249.0,307.0,2.0,1.0,5.0,0.0,10.0,2.0,63.0,26.0,2.0,5.0,0.0,72.0,0.0,2.0,174.0,0.0,94.0,2.0,1.0,5.0,28.0,24.0,50.0,0.0,1.0,0.0,91.0,196.0,4.0,2.0,38.0,1.0,3.0,20.0,0.0,104.0,0.0,5.0,25.0,35.0,7.0,1.0,30.0,2.0,0.0,4.0,3.0,179.0,3.0,93.0,40.0,23.0,148.0,315.0,0.0,42.0,13.0,17.0,4.0,213.0,0.0,2.0,0.0,43.0,0.0,0.0,0.0,3.0,8.0,22.0,8.0,32.0,65.0,5.0,0.0,41.0,151.0,40.0,3.0,0.0,28.0,1.0,0.0,4.0,3.0,0.0,30.0,2.0,5.0
16,13.0,0.0,1.0,3.0,14.0,147.0,161.0,3.0,0.0,57.0,256.0,10.0,12.0,3.0,7.0,3.0,146.0,1.0,15.0,5.0,14.0,779.0,1.0,32.0,14.0,0.0,131.0,5.0,603.0,1.0,38.0,207.0,3.0,5.0,257.0,12.0,24.0,6.0,5.0,10.0,0.0,3.0,4.0,14.0,213.0,218.0,49.0,82.0,3.0,6.0,80.0,9.0,2.0,53.0,5.0,110.0,6.0,7.0,2.0,0.0,15.0,5.0,2.0,5.0,3.0,114.0,7.0,160.0,9.0,223.0,5.0,4.0,66.0,37.0,275.0,0.0,2.0,33.0,1.0,27.0,199.0,76.0,68.0,9.0,78.0,245.0,204.0,3.0,39.0,158.0,6.0,0.0,233.0,3.0,50.0,1.0,25.0,0.0,11.0,0.0,2.0,154.0,26.0,0.0,4.0,2.0,8.0,90.0,4.0,35.0,407.0,56.0,0.0,5.0,112.0,16.0,7.0,2.0,8.0,4.0,3.0,1.0,30.0,0.0,1.0,218.0,0.0,4.0
17,16.0,0.0,1.0,0.0,0.0,11.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,0.0,12.0,0.0,25.0,38.0,0.0,13.0,38.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,5.0,1.0,18.0,0.0,0.0,0.0,3.0,0.0,0.0,16.0,3.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,3.0,33.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,3.0,0.0,0.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0
18,10.0,46.0,5.0,1.0,258.0,31.0,11.0,353.0,806.0,0.0,1.0,36.0,2.0,16.0,15.0,38.0,29.0,1.0,3.0,1.0,0.0,4.0,2.0,26.0,1.0,0.0,11.0,0.0,35.0,330.0,2.0,3.0,0.0,0.0,8.0,6.0,3.0,9.0,0.0,0.0,152.0,35.0,39.0,3.0,0.0,3.0,0.0,1.0,1.0,6.0,12.0,5.0,6.0,0.0,9.0,7.0,197.0,54.0,173.0,138.0,1.0,0.0,0.0,0.0,86.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,7.0,1.0,28.0,0.0,10.0,22.0,2.0,11.0,1.0,6.0,1.0,0.0,2.0,3.0,0.0,112.0,34.0,7.0,67.0,0.0,13.0,2.0,71.0,0.0,5.0,93.0,1.0,109.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,82.0,136.0,22.0,5.0,7.0,1.0,3.0,152.0,41.0,0.0,1.0,577.0,11.0,34.0,48.0,0.0
19,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,94.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,3.0,13.0,0.0,0.0,1.0,0.0,18.0,47.0,0.0,1.0,7.0,0.0,3.0,0.0,12.0,1.0,2.0,0.0,1.0,0.0,43.0,0.0,10.0,1.0,6.0,34.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,22.0,192.0,17.0,1.0,0.0,9.0,87.0,14.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0,11.0,3.0,6.0,5.0,126.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,61.0,1.0,0.0,1.0,8.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,41.0,0.0,0.0,4.0,1.0,0.0,4.0
