class_id,conf_band,slot,slot_assignment_count,slot_unique_detections,slot_images
45,high_conf,feet,929,929,929
45,high_conf,left_eye,38,38,38
45,high_conf,left_hand,3665,3665,3665
45,high_conf,mouth,1702,1702,1702
45,high_conf,right_eye,41,41,41
45,high_conf,right_hand,3045,3045,3045
45,high_conf,shoulder,404,404,404
45,high_conf,top_face,42,42,42
45,high_conf,waist,2371,2371,2371
46,high_conf,left_eye,22,22,22
46,high_conf,left_hand,772,772,772
46,high_conf,mouth,129,129,129
46,high_conf,right_eye,25,25,25
46,high_conf,right_hand,819,819,819
46,high_conf,shoulder,99,99,99
46,high_conf,top_face,9,9,9
46,high_conf,waist,167,167,167
47,high_conf,left_eye,72,72,72
47,high_conf,left_hand,3012,3012,3012
47,high_conf,mouth,504,504,504
47,high_conf,right_eye,52,52,52
47,high_conf,right_hand,3526,3526,3526
47,high_conf,shoulder,332,332,332
47,high_conf,top_face,66,66,66
47,high_conf,waist,850,850,850
48,high_conf,left_eye,18,18,18
48,high_conf,left_hand,806,806,806
48,high_conf,mouth,265,265,265
48,high_conf,right_eye,9,9,9
48,high_conf,right_hand,809,809,809
48,high_conf,shoulder,94,94,94
48,high_conf,top_face,3,3,3
48,high_conf,waist,169,169,169
49,high_conf,left_eye,13,13,13
49,high_conf,left_hand,682,682,682
49,high_conf,mouth,154,154,154
49,high_conf,right_eye,21,21,21
49,high_conf,right_hand,726,726,726
49,high_conf,shoulder,119,119,119
49,high_conf,top_face,11,11,11
49,high_conf,waist,274,274,274
50,high_conf,left_eye,3,3,3
50,high_conf,left_hand,178,178,178
50,high_conf,mouth,92,92,92
50,high_conf,right_eye,3,3,3
50,high_conf,right_hand,175,175,175
50,high_conf,shoulder,98,98,98
50,high_conf,waist,69,69,69
56,high_conf,feet,38864,38864,38864
56,high_conf,left_hand,42186,42186,42186
56,high_conf,right_hand,40775,40775,40775
56,high_conf,waist,62816,62816,62816
57,high_conf,feet,3930,3930,3930
57,high_conf,left_hand,29569,29569,29569
57,high_conf,right_hand,29066,29066,29066
57,high_conf,waist,5063,5063,5063
59,high_conf,feet,1080,1080,1080
59,high_conf,left_hand,8777,8777,8777
59,high_conf,right_hand,8671,8671,8671
59,high_conf,waist,1116,1116,1116
60,high_conf,feet,3323,3323,3323
60,high_conf,left_hand,8504,8504,8504
60,high_conf,right_hand,7847,7847,7847
60,high_conf,waist,6726,6726,6726
63,high_conf,feet,311952,311952,311952
63,high_conf,left_eye,5707,5707,5707
63,high_conf,left_hand,405941,405941,405941
63,high_conf,mouth,13809,13809,13809
63,high_conf,right_eye,5487,5487,5487
63,high_conf,right_hand,397736,397736,397736
63,high_conf,shoulder,85965,85965,85965
63,high_conf,top_face,26,26,26
63,high_conf,waist,389818,389818,389818
67,high_conf,feet,32763,32763,32763
67,high_conf,left_eye,10361,10361,10361
67,high_conf,left_hand,146601,146601,146601
67,high_conf,mouth,33354,33354,33354
67,high_conf,right_eye,7135,7135,7135
67,high_conf,right_hand,176371,176371,176371
67,high_conf,shoulder,20901,20901,20901
67,high_conf,top_face,575,575,575
67,high_conf,waist,80355,80355,80355
73,high_conf,feet,9865,9865,9865
73,high_conf,left_eye,1158,1158,1158
73,high_conf,left_hand,66578,66578,66578
73,high_conf,mouth,5630,5630,5630
73,high_conf,right_eye,1188,1188,1188
73,high_conf,right_hand,63097,63097,63097
73,high_conf,shoulder,5844,5844,5844
73,high_conf,top_face,114,114,114
73,high_conf,waist,9356,9356,9356
74,high_conf,left_hand,12135,12135,12135
74,high_conf,right_hand,12660,12660,12660
74,high_conf,top_face,2255,2255,2255
80,high_conf,feet,2299,2299,2299
80,high_conf,left_eye,354,354,354
80,high_conf,left_hand,48584,48584,48584
80,high_conf,mouth,801,801,801
80,high_conf,right_eye,285,285,285
80,high_conf,right_hand,50763,50763,50763
80,high_conf,shoulder,3098,3098,3098
80,high_conf,top_face,134,134,134
80,high_conf,waist,3728,3728,3728
81,high_conf,feet,3092,3092,3092
81,high_conf,left_eye,182,182,182
81,high_conf,left_hand,15735,15735,15735
81,high_conf,mouth,1411,1411,1411
