class_id,conf_band,total_detections,total_images,assigned_detections,assigned_images,total_slot_assignments,placed_rate_detection,unplaced_rate_detection,placed_rate_image,unplaced_rate_image,feet,left_eye,left_hand,mouth,right_eye,right_hand,shoulder,top_face,waist,share_left_hand,share_right_hand,share_top_face,share_left_eye,share_right_eye,share_mouth,share_shoulder,share_waist,share_feet,max_slot_share,max_slot_name,flag_fixed_low_placement,flag_fixed_slot_dominance,flag_fixed_waist_absence,flag_fixed_feet_absence,flag_iqr_low_placement,flag_iqr_slot_dominance,flag_mad_low_placement,flag_mad_slot_dominance,outlier_flag_count,outlier_reasons
90,all_conf,104493,102818,44478.0,44416.0,74753.0,0.425655307054061,0.574344692945939,0.4319866171292964,0.5680133828707036,1808.0,394.0,19513.0,14223.0,395.0,20699.0,12471.0,0.0,5250.0,0.2610330020199858,0.276898586009926,0.0,0.005270691477265127,0.005284068866801332,0.19026661137345657,0.16682942490602384,0.070231295065081,0.024186320281460276,0.276898586009926,right_hand,False,False,False,False,False,False,False,False,0,
92,all_conf,144320,141802,56320.0,56289.0,73637.0,0.3902439024390244,0.6097560975609756,0.3969549089575605,0.6030450910424394,2.0,1986.0,15198.0,4657.0,2072.0,14428.0,7360.0,27135.0,799.0,0.20639080896831755,0.19593410921140186,0.3684968154596195,0.026970137295109796,0.028138028436791286,0.06324266333500822,0.09994975352064858,0.010850523513994324,2.71602591088719e-05,0.3684968154596195,top_face,False,False,False,True,False,False,False,False,1,fixed_feet_absence
93,all_conf,434806,420796,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left_hand,True,False,True,True,False,False,False,False,3,fixed_low_placement;fixed_waist_absence;fixed_feet_absence
94,all_conf,95136,93399,56047.0,55556.0,87683.0,0.5891250420450723,0.4108749579549277,0.5948243557211533,0.40517564427884667,5490.0,645.0,31940.0,3702.0,429.0,32542.0,3138.0,179.0,9618.0,0.3642667335743531,0.3711323745765998,0.002041444749837483,0.007356043930978639,0.0048926245680462575,0.04222027074803554,0.03578800907815654,0.10969058996612799,0.0626119088078647,0.3711323745765998,right_hand,False,False,False,False,False,False,False,False,0,
95,all_conf,382357,377798,212888.0,211984.0,255118.0,0.5567780895864336,0.4432219104135664,0.5611040820756066,0.4388959179243934,3894.0,1787.0,93268.0,8502.0,1204.0,108236.0,18010.0,70.0,20147.0,0.3655876888341865,0.42425857838333636,0.00027438283460986683,0.007004601792111886,0.004719384755289709,0.0333257551407584,0.07059478359033859,0.07897129955549981,0.015263525113868876,0.42425857838333636,right_hand,False,False,False,False,False,False,False,False,0,
96,all_conf,43105,39269,20239.0,19010.0,23357.0,0.4695278969957081,0.5304721030042918,0.48409687030482057,0.5159031296951795,360.0,750.0,8090.0,249.0,539.0,11671.0,595.0,100.0,1003.0,0.34636297469709293,0.49967889711863683,0.004281371751509184,0.032110288136318874,0.023076593740634498,0.010660615661257866,0.02547416192147964,0.04294215866763711,0.01541293830543306,0.49967889711863683,right_hand,False,False,False,False,False,False,False,False,0,
97,all_conf,14287,13632,4999.0,4950.0,8736.0,0.3498985091341779,0.650101490865822,0.36311619718309857,0.6368838028169015,906.0,139.0,2630.0,468.0,122.0,2699.0,485.0,53.0,1234.0,0.30105311355311354,0.3089514652014652,0.006066849816849817,0.01591117216117216,0.013965201465201466,0.05357142857142857,0.055517399267399264,0.14125457875457875,0.10370879120879122,0.3089514652014652,right_hand,False,False,False,False,False,False,False,False,0,
98,all_conf,700,662,165.0,165.0,262.0,0.2357142857142857,0.7642857142857142,0.24924471299093656,0.7507552870090635,11.0,5.0,103.0,4.0,5.0,106.0,9.0,3.0,16.0,0.3931297709923664,0.40458015267175573,0.011450381679389313,0.019083969465648856,0.019083969465648856,0.015267175572519083,0.03435114503816794,0.061068702290076333,0.04198473282442748,0.40458015267175573,right_hand,False,False,False,False,False,False,False,False,0,
99,all_conf,550,500,182.0,177.0,322.0,0.33090909090909093,0.6690909090909091,0.354,0.646,13.0,0.0,121.0,11.0,1.0,133.0,17.0,1.0,25.0,0.37577639751552794,0.41304347826086957,0.003105590062111801,0.0,0.003105590062111801,0.034161490683229816,0.052795031055900624,0.07763975155279502,0.040372670807453416,0.41304347826086957,right_hand,False,False,False,False,False,False,False,False,0,
100,all_conf,29376,27965,19987.0,19673.0,38917.0,0.680385348583878,0.319614651416122,0.7034865009833721,0.29651349901662793,5203.0,987.0,10772.0,1549.0,920.0,10895.0,2299.0,30.0,6262.0,0.27679420304751134,0.27995477554796105,0.0007708713415730914,0.025361667137754708,0.023640054474908138,0.03980265693655729,0.059074440475884574,0.16090654469768995,0.13369478634015983,0.27995477554796105,right_hand,False,False,False,False,False,False,False,False,0,
