ihp_cluster,hsv_0,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_17,hsv_18,hsv_19,hsv_20,hsv_21,hsv_22,hsv_3_to_22_sum,total
27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0
28,1.0,25.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,88.0
29,5.0,20.0,41.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,6.0,1.0,0.0,0.0,23.0,141.0
30,5.0,15.0,43.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,2.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,26.0,145.0
31,0.0,14.0,33.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,22.0,122.0
32,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,53.0
33,1.0,24.0,32.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,12.0,114.0
34,0.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,57.0
35,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,46.0
36,4.0,26.0,36.0,0.0,2.0,2.0,5.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,23.0,148.0
37,1.0,19.0,43.0,0.0,0.0,0.0,9.0,6.0,0.0,2.0,1.0,1.0,1.0,0.0,5.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,31.0,162.0
38,6.0,35.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,13.0,134.0
39,1.0,18.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,79.0
40,2.0,20.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,84.0
