ihp_cluster,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_525
72,20.0,59.0,5.0,2.0,51.0,4.0,27.0,30.0,5.0,11.0,26.0,1.0,22.0,26.0,0.0,0.0,0.0
73,14.0,10.0,4.0,5.0,10.0,3.0,9.0,7.0,3.0,11.0,4.0,1.0,4.0,5.0,2.0,0.0,0.0
74,294.0,497.0,61.0,84.0,560.0,74.0,316.0,198.0,106.0,153.0,219.0,17.0,253.0,240.0,54.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
76,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
77,11.0,12.0,2.0,4.0,11.0,2.0,17.0,8.0,1.0,12.0,5.0,0.0,3.0,8.0,3.0,0.0,0.0
78,69.0,106.0,24.0,33.0,107.0,24.0,99.0,41.0,24.0,38.0,55.0,11.0,29.0,57.0,19.0,0.0,0.0
79,11.0,25.0,2.0,1.0,33.0,3.0,9.0,13.0,1.0,4.0,7.0,0.0,9.0,5.0,0.0,0.0,0.0
80,1.0,3.0,0.0,0.0,7.0,0.0,3.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
81,81.0,240.0,11.0,4.0,210.0,44.0,40.0,86.0,47.0,21.0,68.0,4.0,89.0,82.0,6.0,0.0,0.0
82,8.0,20.0,0.0,2.0,14.0,6.0,9.0,8.0,2.0,2.0,9.0,0.0,10.0,9.0,0.0,0.0,0.0
83,226.0,307.0,70.0,57.0,325.0,59.0,249.0,134.0,56.0,111.0,155.0,9.0,129.0,106.0,37.0,0.0,0.0
84,371.0,617.0,133.0,118.0,648.0,88.0,432.0,212.0,106.0,199.0,265.0,31.0,205.0,236.0,71.0,0.0,0.0
85,21.0,26.0,2.0,0.0,27.0,5.0,10.0,13.0,1.0,2.0,12.0,0.0,21.0,16.0,0.0,0.0,0.0
