ihp_cluster,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_525
62,5.0,2.0,2.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
63,9.0,26.0,0.0,0.0,24.0,1.0,4.0,13.0,5.0,1.0,8.0,0.0,5.0,1.0,0.0,0.0,0.0
64,56.0,149.0,13.0,7.0,154.0,21.0,38.0,64.0,21.0,18.0,32.0,5.0,53.0,56.0,5.0,0.0,0.0
65,13.0,121.0,1.0,1.0,53.0,7.0,12.0,37.0,13.0,5.0,23.0,1.0,22.0,21.0,0.0,0.0,0.0
66,14.0,11.0,2.0,2.0,17.0,2.0,30.0,3.0,4.0,5.0,3.0,1.0,3.0,5.0,1.0,0.0,0.0
67,60.0,139.0,4.0,10.0,139.0,13.0,38.0,60.0,20.0,11.0,42.0,0.0,54.0,52.0,7.0,0.0,0.0
68,57.0,141.0,12.0,27.0,108.0,25.0,80.0,52.0,28.0,18.0,36.0,2.0,38.0,59.0,7.0,0.0,0.0
69,29.0,48.0,7.0,3.0,44.0,7.0,23.0,14.0,6.0,8.0,21.0,4.0,13.0,15.0,5.0,0.0,0.0
70,34.0,29.0,13.0,15.0,58.0,6.0,42.0,12.0,14.0,19.0,29.0,3.0,15.0,30.0,9.0,0.0,0.0
71,38.0,86.0,4.0,6.0,76.0,15.0,14.0,36.0,15.0,9.0,37.0,1.0,33.0,33.0,0.0,0.0,0.0
72,12.0,20.0,1.0,1.0,17.0,2.0,19.0,4.0,2.0,2.0,7.0,0.0,6.0,7.0,1.0,0.0,0.0
73,52.0,35.0,26.0,24.0,44.0,5.0,87.0,14.0,13.0,17.0,25.0,9.0,5.0,20.0,11.0,0.0,0.0
74,10.0,11.0,1.0,1.0,20.0,2.0,10.0,10.0,7.0,3.0,5.0,0.0,8.0,4.0,0.0,0.0,0.0
75,23.0,44.0,7.0,6.0,38.0,6.0,33.0,16.0,7.0,4.0,8.0,1.0,10.0,29.0,0.0,0.0,0.0
