ihp_cluster,hsv_0,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_17,hsv_18,hsv_19,hsv_20,hsv_21,hsv_22,hsv_3_to_22_sum,total
681,169.0,1970.0,1856.0,6.0,2.0,3.0,18.0,16.0,8.0,3.0,1.0,6.0,46.0,28.0,80.0,35.0,82.0,3.0,2.0,67.0,21.0,0.0,3.0,430.0,5536.0
682,91.0,887.0,995.0,4.0,1.0,0.0,10.0,15.0,7.0,4.0,2.0,0.0,20.0,7.0,51.0,9.0,35.0,0.0,2.0,69.0,30.0,1.0,1.0,268.0,3191.0
683,20.0,378.0,394.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,7.0,3.0,20.0,1.0,10.0,1.0,0.0,13.0,12.0,0.0,2.0,75.0,1625.0
684,60.0,802.0,663.0,3.0,5.0,2.0,8.0,7.0,6.0,1.0,1.0,8.0,16.0,9.0,54.0,43.0,97.0,4.0,5.0,52.0,13.0,4.0,1.0,339.0,2887.0
685,69.0,538.0,1198.0,7.0,2.0,0.0,4.0,14.0,4.0,0.0,1.0,13.0,24.0,6.0,94.0,12.0,25.0,3.0,4.0,95.0,45.0,1.0,0.0,354.0,3198.0
686,1295.0,3585.0,11103.0,32.0,29.0,38.0,142.0,137.0,31.0,26.0,9.0,190.0,83.0,38.0,198.0,146.0,292.0,62.0,53.0,484.0,248.0,57.0,6.0,2301.0,21271.0
687,114.0,2067.0,1942.0,2.0,0.0,2.0,16.0,15.0,1.0,5.0,0.0,5.0,37.0,14.0,70.0,57.0,50.0,0.0,2.0,55.0,29.0,1.0,0.0,361.0,5532.0
688,390.0,3351.0,3988.0,14.0,9.0,4.0,36.0,49.0,14.0,9.0,2.0,28.0,94.0,38.0,172.0,31.0,107.0,4.0,8.0,166.0,75.0,3.0,2.0,865.0,10147.0
689,108.0,1220.0,1619.0,13.0,4.0,6.0,13.0,20.0,6.0,2.0,0.0,7.0,23.0,13.0,51.0,40.0,92.0,7.0,5.0,116.0,38.0,2.0,1.0,459.0,4554.0
690,117.0,353.0,365.0,7.0,3.0,2.0,8.0,9.0,2.0,1.0,0.0,3.0,2.0,1.0,17.0,80.0,206.0,3.0,3.0,32.0,14.0,1.0,1.0,395.0,2315.0
691,206.0,2384.0,2330.0,9.0,0.0,3.0,23.0,12.0,9.0,5.0,1.0,9.0,35.0,18.0,91.0,19.0,84.0,1.0,1.0,90.0,24.0,2.0,2.0,438.0,6487.0
692,70.0,814.0,994.0,4.0,0.0,3.0,7.0,9.0,7.0,1.0,3.0,12.0,38.0,7.0,78.0,13.0,34.0,0.0,2.0,57.0,39.0,3.0,1.0,318.0,3206.0
693,213.0,2414.0,4045.0,8.0,9.0,12.0,44.0,26.0,24.0,8.0,7.0,57.0,65.0,30.0,107.0,46.0,137.0,11.0,18.0,234.0,73.0,10.0,5.0,931.0,9227.0
694,298.0,1190.0,2097.0,8.0,5.0,9.0,31.0,13.0,6.0,4.0,6.0,29.0,39.0,14.0,82.0,24.0,68.0,13.0,8.0,120.0,109.0,4.0,7.0,599.0,5477.0
695,29.0,286.0,417.0,2.0,0.0,1.0,2.0,13.0,0.0,0.0,1.0,3.0,9.0,3.0,24.0,3.0,8.0,1.0,1.0,24.0,8.0,0.0,4.0,107.0,1641.0
696,153.0,1322.0,1866.0,5.0,1.0,2.0,13.0,14.0,5.0,3.0,1.0,11.0,37.0,17.0,113.0,26.0,58.0,3.0,9.0,140.0,90.0,0.0,3.0,551.0,5139.0
697,208.0,1186.0,1937.0,6.0,3.0,4.0,26.0,23.0,13.0,5.0,2.0,13.0,57.0,11.0,57.0,11.0,65.0,3.0,2.0,41.0,56.0,1.0,0.0,399.0,4826.0
698,353.0,1822.0,5555.0,19.0,28.0,10.0,94.0,62.0,26.0,11.0,17.0,127.0,81.0,23.0,159.0,48.0,106.0,38.0,42.0,273.0,95.0,37.0,7.0,1303.0,11034.0
699,43.0,469.0,1294.0,1.0,3.0,3.0,8.0,4.0,3.0,2.0,1.0,21.0,16.0,4.0,42.0,26.0,22.0,5.0,7.0,71.0,30.0,3.0,2.0,274.0,3053.0
700,17.0,226.0,303.0,3.0,2.0,1.0,3.0,5.0,0.0,0.0,0.0,3.0,8.0,1.0,18.0,6.0,13.0,0.0,2.0,28.0,13.0,1.0,0.0,107.0,1460.0
701,184.0,1036.0,3689.0,14.0,24.0,23.0,122.0,51.0,20.0,5.0,6.0,180.0,39.0,9.0,65.0,41.0,67.0,27.0,34.0,177.0,79.0,20.0,4.0,1007.0,7624.0
