ihp_cluster,hsv_0,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_17,hsv_18,hsv_19,hsv_20,hsv_21,hsv_22,hsv_3_to_22_sum,total
729,130.0,512.0,3495.0,18.0,37.0,23.0,148.0,62.0,42.0,13.0,10.0,268.0,26.0,9.0,95.0,59.0,83.0,70.0,55.0,210.0,89.0,38.0,5.0,1360.0,7586.0
730,177.0,1986.0,2040.0,26.0,8.0,6.0,33.0,44.0,17.0,10.0,13.0,45.0,76.0,36.0,265.0,39.0,87.0,9.0,13.0,127.0,38.0,7.0,4.0,903.0,6739.0
731,141.0,648.0,1180.0,13.0,16.0,7.0,84.0,25.0,21.0,16.0,13.0,87.0,47.0,10.0,61.0,30.0,36.0,20.0,14.0,107.0,31.0,14.0,7.0,659.0,4018.0
732,86.0,1331.0,952.0,15.0,7.0,2.0,27.0,12.0,17.0,7.0,2.0,34.0,59.0,22.0,137.0,4.0,45.0,4.0,3.0,57.0,15.0,4.0,1.0,474.0,4049.0
733,87.0,644.0,548.0,9.0,0.0,3.0,4.0,8.0,2.0,9.0,3.0,7.0,32.0,14.0,63.0,11.0,26.0,1.0,3.0,31.0,14.0,3.0,4.0,247.0,2506.0
734,67.0,976.0,1659.0,7.0,11.0,6.0,51.0,34.0,18.0,14.0,5.0,79.0,53.0,13.0,148.0,28.0,129.0,10.0,25.0,135.0,53.0,4.0,4.0,827.0,5090.0
735,65.0,810.0,848.0,4.0,0.0,2.0,19.0,14.0,10.0,4.0,1.0,9.0,71.0,7.0,131.0,9.0,30.0,5.0,2.0,59.0,16.0,2.0,2.0,397.0,3252.0
736,48.0,269.0,933.0,4.0,4.0,4.0,37.0,11.0,10.0,4.0,6.0,44.0,18.0,4.0,58.0,13.0,22.0,5.0,15.0,73.0,26.0,5.0,5.0,368.0,2722.0
737,62.0,490.0,1065.0,9.0,14.0,13.0,82.0,33.0,19.0,7.0,15.0,92.0,22.0,7.0,60.0,30.0,25.0,10.0,16.0,101.0,31.0,15.0,3.0,604.0,3562.0
738,153.0,813.0,2007.0,20.0,29.0,33.0,124.0,60.0,48.0,21.0,39.0,298.0,48.0,9.0,115.0,56.0,71.0,45.0,53.0,246.0,60.0,56.0,7.0,1438.0,6587.0
739,68.0,706.0,939.0,11.0,13.0,10.0,42.0,17.0,16.0,14.0,8.0,93.0,32.0,14.0,80.0,23.0,105.0,10.0,16.0,112.0,21.0,11.0,7.0,655.0,3762.0
740,12.0,113.0,111.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,4.0,6.0,2.0,8.0,1.0,3.0,1.0,0.0,13.0,3.0,1.0,0.0,49.0,1074.0
741,308.0,1685.0,2098.0,27.0,9.0,12.0,68.0,40.0,23.0,18.0,7.0,54.0,96.0,34.0,196.0,37.0,78.0,14.0,14.0,116.0,30.0,4.0,12.0,889.0,6610.0
742,67.0,738.0,655.0,5.0,2.0,2.0,8.0,8.0,2.0,2.0,0.0,11.0,33.0,18.0,56.0,6.0,23.0,1.0,0.0,21.0,8.0,1.0,1.0,208.0,2618.0
743,40.0,460.0,435.0,2.0,1.0,3.0,10.0,8.0,2.0,2.0,2.0,11.0,26.0,6.0,47.0,5.0,24.0,2.0,2.0,46.0,14.0,2.0,0.0,215.0,2108.0
744,42.0,489.0,346.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,3.0,20.0,2.0,78.0,5.0,12.0,1.0,1.0,33.0,14.0,1.0,1.0,181.0,1983.0
745,45.0,825.0,593.0,4.0,2.0,1.0,10.0,9.0,8.0,4.0,3.0,10.0,46.0,10.0,143.0,6.0,20.0,2.0,4.0,66.0,19.0,1.0,1.0,369.0,2946.0
746,48.0,470.0,872.0,6.0,2.0,4.0,20.0,15.0,12.0,6.0,1.0,32.0,34.0,3.0,90.0,17.0,23.0,2.0,7.0,53.0,17.0,1.0,1.0,346.0,2828.0
747,130.0,1199.0,1976.0,9.0,14.0,18.0,65.0,34.0,21.0,11.0,16.0,95.0,66.0,20.0,151.0,35.0,53.0,22.0,23.0,128.0,54.0,11.0,3.0,849.0,5750.0
748,28.0,345.0,218.0,1.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,1.0,11.0,4.0,50.0,6.0,13.0,0.0,0.0,19.0,7.0,0.0,1.0,122.0,1583.0
749,166.0,947.0,3295.0,20.0,77.0,36.0,249.0,123.0,61.0,22.0,27.0,374.0,61.0,28.0,136.0,73.0,104.0,88.0,83.0,290.0,100.0,42.0,8.0,2002.0,9161.0
750,119.0,1032.0,764.0,18.0,8.0,9.0,26.0,17.0,16.0,1.0,7.0,13.0,59.0,23.0,162.0,13.0,49.0,0.0,5.0,51.0,22.0,1.0,4.0,504.0,3673.0
751,135.0,1163.0,1138.0,20.0,11.0,3.0,20.0,11.0,10.0,3.0,4.0,25.0,46.0,16.0,120.0,25.0,58.0,4.0,4.0,74.0,20.0,4.0,5.0,483.0,4153.0
752,232.0,1667.0,4073.0,22.0,67.0,43.0,281.0,152.0,111.0,45.0,49.0,544.0,100.0,24.0,225.0,93.0,112.0,61.0,59.0,410.0,144.0,65.0,9.0,2616.0,11956.0
753,59.0,335.0,144.0,8.0,3.0,1.0,9.0,0.0,0.0,3.0,1.0,5.0,17.0,5.0,30.0,9.0,34.0,0.0,4.0,20.0,3.0,1.0,3.0,156.0,1603.0
754,79.0,853.0,922.0,9.0,5.0,9.0,26.0,15.0,12.0,4.0,5.0,34.0,27.0,13.0,123.0,16.0,30.0,5.0,13.0,61.0,15.0,0.0,1.0,423.0,3454.0
755,63.0,346.0,458.0,9.0,5.0,7.0,26.0,12.0,8.0,7.0,5.0,25.0,24.0,7.0,38.0,12.0,19.0,3.0,4.0,24.0,6.0,4.0,3.0,248.0,2118.0
