count,keyword_id,keyword_text
1,113442,fun loving
1,120069,fun party
1,97207,fun positive
1,127463,fun run
1,124617,fun tour
1,123861,fun town
1,113447,fun typing
1,113439,fun-loving
1,31321,funny animal
1,68606,funny expression
1,63772,funny expressions
1,105735,funny funky
1,120074,funny guy
1,105740,funny pants
1,81213,funny portrait
1,113454,funny pose
1,55090,happiness and joyful
1,55091,happiness expression
1,63909,happiness in rain
1,48332,happiness individuality nature vertical
1,81478,happiness life
1,60132,happiness portrait
1,81476,happiness time
1,40538,happy - single word
1,102024,happy avenue
1,110079,happy bride
1,93445,happy chinese
1,118508,happy cook
1,48255,happy doctor standing in hospital corridor
1,122877,happy end
1,71720,happy freelancer
1,110176,happy fresh
1,117394,happy good
1,117012,happy hall
1,49174,happy happiness smile smiling
1,122627,happy hat
1,102162,happy health
1,94152,happy healthy
1,49701,happy hour leisure activity
1,117013,happy line
1,93280,happy melanin
1,71609,happy millennial
1,101868,happy number
1,123000,happy pet
1,110794,happy relax
1,102612,happy selfie
1,52886,happy teacher teaching
1,52887,happy teacher to teach
1,78151,happy therapist
1,85125,happy thoughts
1,78782,happy with life
1,55249,laughing and smiling
1,89803,laughing lead
1,64281,laughing portrait
1,81974,laughing water
1,26363,love couples
1,120728,love game
1,106818,love inlove
1,29060,love is in the air
1,60515,love loving inlove
1,114397,love magic
1,69357,love of a mother
1,75345,love of animals
1,120723,love ride
1,120727,love sign
1,98427,love talking
1,114400,love theme
1,89983,love together
1,49101,mental and physical wellbeing
1,82294,mental anguish
1,69489,mental confusion
1,69488,mental disorders
1,75474,mental exercise
1,64470,mental positivity
1,69490,mental rejection
1,106944,mental-care
1,101829,mentally ill
1,90640,pain disorder
1,66408,painkilling pills
1,57740,peaceful atmosphere
1,90731,peaceful mind
1,75943,peaceful moment
1,90729,peaceful rest
1,64896,pleasure carefree
1,60866,pleasure hilarious
1,70214,relaxation drink
1,65067,relaxation length
1,65069,relaxation moment
1,76312,relaxation zone
1,121389,sad anger
1,83337,sad expression
1,125387,sad look
1,125388,sad news
1,49128,sad sadness lonely loneliness
1,65243,serene atmosphere
1,65524,surprise surprise
1,53969,surprised by computer
1,58762,thrilled individual
1,116255,tired look
1,48981,tired stress stressed worn out
1,92354,tired teacher
1,58327,unexpected surprise
1,49387,unhappy breakdown breakdowns
1,84456,unhappy mature
1,92539,unhappy using
1,37973,unrequited love
1,92561,unwell person
