arms_cluster_id,object_cluster_0,object_cluster_1,object_cluster_2,object_cluster_3,object_cluster_4,object_cluster_5,object_cluster_6,object_cluster_7,object_cluster_8,object_cluster_9,object_cluster_10,object_cluster_11,object_cluster_12,object_cluster_13,object_cluster_14,object_cluster_15,object_cluster_16,object_cluster_17,object_cluster_18,object_cluster_19,object_cluster_20,object_cluster_21,object_cluster_22,object_cluster_23,object_cluster_24,object_cluster_25,object_cluster_26,object_cluster_27,object_cluster_28,object_cluster_29,object_cluster_30,object_cluster_31,object_cluster_32,object_cluster_33,object_cluster_34,object_cluster_35,object_cluster_36,object_cluster_37,object_cluster_38,object_cluster_39,object_cluster_40,object_cluster_41,object_cluster_42,object_cluster_43,object_cluster_44,object_cluster_45,object_cluster_46,object_cluster_47,object_cluster_48,object_cluster_49,object_cluster_50,object_cluster_51,object_cluster_52,object_cluster_53,object_cluster_54,object_cluster_55,object_cluster_56,object_cluster_57,object_cluster_58,object_cluster_59,object_cluster_60,object_cluster_61,object_cluster_62,object_cluster_63,object_cluster_64,object_cluster_65,object_cluster_66,object_cluster_67,object_cluster_68,object_cluster_69,object_cluster_70,object_cluster_71,object_cluster_72,object_cluster_73,object_cluster_74,object_cluster_75,object_cluster_76,object_cluster_77,object_cluster_78,object_cluster_79,object_cluster_80,object_cluster_81,object_cluster_82,object_cluster_83,object_cluster_84,object_cluster_85,object_cluster_86,object_cluster_87,object_cluster_88,object_cluster_89,object_cluster_90,object_cluster_91,object_cluster_92,object_cluster_93,object_cluster_94,object_cluster_95,object_cluster_96,object_cluster_97,object_cluster_98,object_cluster_99,object_cluster_100,object_cluster_101,object_cluster_102,object_cluster_103,object_cluster_104,object_cluster_105,object_cluster_106,object_cluster_107,object_cluster_108,object_cluster_109,object_cluster_110,object_cluster_111,object_cluster_112,object_cluster_113,object_cluster_114,object_cluster_115,object_cluster_116,object_cluster_117,object_cluster_118,object_cluster_119,object_cluster_120,object_cluster_121,object_cluster_122,object_cluster_123,object_cluster_124,object_cluster_125,object_cluster_126,object_cluster_127,object_cluster_128,object_cluster_129,object_cluster_130,object_cluster_131,object_cluster_132,object_cluster_133,object_cluster_134,object_cluster_135,object_cluster_136,object_cluster_137,total
36,0,71,570,52,16,36,69,195,59,203,12,23,5,1239,52,57,195,36,7,6,5,5,0,0,311,219,1957,3382,303,418,25,12,1531,207,190,31,100,235,53,883,197,1600,150,151,339,571,149,274,58,220,77,114,38,176,184,377,6116,856,1422,719,1602,63,288,3922,119,176,147,4771,38,93,9,133,129,2088,454,493,180,205,39,269,222,280,130,157,260,0,144,5,34,31,49,0,273,343,44,99,57,96,4,2,41,57,1,35,8,15,1,5,126,102,71,12,1,10,3,4,5,3,34,0,0,0,0,78,41,0,0,15,0,0,0,0,81,351,0,0,0,253,45359
37,0,507,2771,303,784,104,73,364,621,1885,77,536,75,2356,717,335,552,123,112,58,20,2,8,15,2704,10541,12878,27191,1918,6187,184,188,25575,6532,1403,693,328,2511,1309,8307,5094,19435,543,863,1045,3630,2022,3560,805,2085,578,448,471,523,4374,2799,16521,10185,14480,4727,17746,153,3067,29614,1547,4967,1739,67396,546,625,37,569,2007,46578,5233,4780,2035,4045,640,2013,11739,6523,59436,14689,4671,0,3088,655,1502,1234,1234,0,1805,4891,26419,82967,5755,895,51,101,8774,648,40,1073,43,475,92,65,1314,494,1662,77,77,1383,143,179,119,10,252,17,0,0,0,3359,2529,0,0,3143,0,0,0,0,1193,20007,0,7,0,20014,705216
38,0,1938,8520,663,1314,436,361,1054,1131,5648,136,361,129,6829,824,593,1565,689,147,141,93,33,20,63,5523,4354,14516,27540,1535,2469,146,156,6527,4034,1789,464,1290,1719,1079,4937,2433,14487,915,704,1524,3480,1382,2447,612,1289,408,770,405,464,1761,2129,15949,4747,9132,4246,8752,339,1937,12157,539,1662,721,30867,348,437,24,855,876,14122,4486,2900,1736,1321,591,3284,3037,1684,1171,1775,2032,0,972,268,113,884,1020,0,3193,1622,634,1239,165,1460,165,50,569,2054,152,608,1308,987,53,133,1012,563,1716,166,26,195,154,420,29,12,94,17,0,0,0,767,237,0,0,110,0,0,0,0,224,1396,0,0,0,1457,303947
39,0,52,126,28,14,5,24,30,53,77,9,6,0,196,30,9,41,18,7,6,8,2,0,3,250,139,841,1974,97,114,36,20,575,179,173,46,46,119,58,223,49,327,13,27,29,149,62,50,31,99,15,21,16,24,79,64,281,98,212,66,151,7,37,450,14,62,21,1709,3,9,1,8,14,776,186,80,89,41,51,121,137,129,127,52,81,0,449,5,4,89,94,0,195,63,44,54,45,33,1,1,12,27,2,27,3,8,0,3,71,62,37,8,9,179,16,28,3,3,11,0,0,0,0,19,3,0,0,12,0,0,0,0,9,34,0,0,0,68,13433
40,0,7579,17725,1266,5808,938,794,1777,2175,16002,189,2903,274,28972,1662,2008,4191,226,70,256,74,12,38,64,13377,8625,40242,107038,4297,4957,203,347,11746,7136,1196,376,1215,2080,1050,39412,10543,236660,5540,6201,12736,30769,3685,8887,1865,6635,1571,1069,478,1453,3139,5367,247797,108250,190759,36082,141245,731,47621,850461,31210,19115,32707,477842,5977,7590,511,7032,9213,196684,37736,56167,11446,3384,2314,7154,12843,3616,2853,4337,3395,0,1320,491,648,4643,4379,0,56642,51204,409,37326,1815,1244,72,13,1343,2770,258,554,107,286,127,257,1156,571,6141,178,54,383,189,101,20,2,12,6,0,0,0,27813,31078,0,0,4085,0,0,0,0,8751,176759,0,8,0,71915,3726100
41,0,1261,9610,644,1534,641,740,965,429,5716,101,631,184,3506,769,457,1078,90,37,54,25,10,15,14,6972,3188,13696,21900,1761,1144,98,98,3401,2851,1001,363,355,769,500,11257,1449,15611,502,589,959,2428,1111,1475,374,1434,290,275,392,271,1046,1288,14851,9288,10902,5826,7794,174,2964,17916,1165,3872,1218,38812,430,504,51,727,872,17442,4609,2764,1948,2153,701,5857,4789,736,933,1801,1047,0,364,235,224,6064,6438,0,1198,1519,157,1304,99,215,16,5,160,348,18,177,29,172,20,81,1047,343,174625,815,281,149,320,344,83,11,79,16,0,0,0,833,287,0,0,315,0,0,0,0,489,3636,0,0,0,2803,494824
42,0,526,3491,226,270,100,53,295,204,1443,27,104,38,2936,109,48,268,31,12,21,6,3,0,7,1328,1028,5846,8885,259,385,17,24,1376,457,185,66,65,225,123,12031,5181,56124,2096,1639,5512,8587,429,557,758,766,296,111,452,482,1010,2714,23600,2754,10844,796,26821,46,1741,18006,636,826,587,30280,771,1370,73,1236,1000,8223,3077,3834,456,116,217,592,743,302,500,529,813,0,269,18,34,144,193,0,553,1969,189,1196,167,124,16,3,159,309,11,78,14,44,23,23,232,63,1282,11,11,31,74,20,4,1,12,0,0,0,0,1048,595,0,0,202,0,0,0,0,374,3821,0,4,0,3529,286871
43,0,1703,10270,891,884,413,332,1005,507,3381,113,1521,157,3631,555,94,560,150,82,89,48,10,17,26,7737,28349,128186,26219,5670,870,396,223,3492,11921,510,319,335,1498,414,9791,1042,11619,492,955,917,3806,2645,3280,567,2913,1205,869,723,431,1289,2120,9818,2638,18493,1736,6390,162,2788,13966,704,2088,1029,49194,236,299,20,500,1457,34299,3759,10021,3501,1083,648,1947,7510,5229,3223,123730,808,0,274,231,1741,194,200,0,1153,2527,239,13699,160,2822,209,34,1435,2930,300,1786,201,642,110,280,278,425,1985,12,3,56,101,33,4,0,12,3,0,0,0,484,504,0,0,334,0,0,0,0,635,2538,0,0,0,4854,637946
44,0,691,4577,322,405,162,137,550,520,19596,66,312,277,3152,425,255,745,151,42,34,19,11,9,23,4939,3419,9896,28398,1726,2027,88,170,5042,5996,1313,348,1130,888,884,3967,1098,11777,655,456,966,2379,1200,3045,449,1227,402,307,496,454,2196,1681,10368,2799,6734,2200,5016,395,2075,12168,464,2324,725,36720,208,184,14,1123,767,11513,12989,1580,1480,983,826,9196,3757,2094,3927,1749,3385,0,405,529,291,2398,1844,0,4146,1347,683,2194,306,700,58,24,605,749,49,454,76,343,56,18,259,162,2119,110,19,140,491,244,37,33,87,27,0,0,0,448,173,0,0,271,0,0,0,0,289,1217,0,1,0,1639,294304
45,0,16390,23108,2677,4277,788,688,3452,33878,18460,780,519,263,61076,9856,1772,24062,6827,1927,800,1193,436,204,440,33342,28725,74302,34929,5519,22157,991,669,50888,29653,8546,2350,6114,44911,4876,30906,11210,44816,2214,1401,2998,10521,9437,19390,3249,7108,2219,1165,1972,2897,5451,5939,38303,2632,27914,8665,17684,381,633,35714,264,1493,345,116580,101,169,8,358,257,43799,13085,7056,3292,7315,681,6642,2773,1357,796,2834,3979,0,2487,2209,75,146,187,0,11218,2924,631,1228,177,9084,575,874,10165,43973,947,11274,9878,11997,700,3682,1509,5526,3789,169,35,508,177,894,24,25,254,8,0,0,0,1801,738,0,0,74,0,0,0,0,38,4595,0,5,0,7052,1221500
