ihp_cluster,hsv_0,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_17,hsv_18,hsv_19,hsv_20,hsv_21,hsv_22,hsv_23,hsv_24,hsv_25,hsv_26,hsv_27,hsv_28,hsv_29,hsv_30,hsv_31,hsv_32,hsv_33,hsv_34,hsv_35,hsv_36,hsv_37,hsv_38,hsv_39,hsv_40,hsv_41,hsv_42,hsv_43,hsv_44,hsv_45,hsv_46,hsv_47,hsv_48,hsv_49,hsv_50,hsv_51,hsv_52,hsv_53,hsv_54,hsv_55,hsv_56,hsv_57,hsv_58,hsv_59,hsv_60,hsv_61,hsv_62,hsv_63,hsv_64,hsv_65,hsv_66,hsv_67,hsv_68,hsv_69,hsv_70,hsv_71,hsv_72,hsv_73,hsv_74,hsv_75,hsv_76,hsv_77,hsv_78,hsv_79,hsv_80,hsv_81,hsv_82,hsv_83,hsv_84,hsv_85,hsv_86,hsv_87,hsv_88,hsv_89,hsv_90,hsv_91,hsv_92,hsv_93,hsv_94,hsv_95,hsv_96
10,0.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,7.0,2.0,2.0,0.0,1.0,0.0,7.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,0.0,2.0,1.0,3.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,4.0,0.0,2.0,1.0,1.0,2.0,7.0,1.0,0.0,2.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
11,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,1.0,2.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
12,17.0,10.0,27.0,22.0,9.0,7.0,7.0,10.0,15.0,11.0,36.0,12.0,12.0,10.0,16.0,5.0,20.0,13.0,4.0,5.0,22.0,25.0,9.0,14.0,0.0,14.0,24.0,14.0,8.0,13.0,5.0,13.0,2.0,17.0,42.0,16.0,7.0,11.0,2.0,4.0,4.0,3.0,10.0,23.0,12.0,22.0,5.0,5.0,7.0,4.0,11.0,8.0,25.0,11.0,3.0,3.0,6.0,15.0,27.0,14.0,9.0,14.0,21.0,23.0,8.0,1.0,28.0,4.0,1.0,7.0,11.0,1.0,3.0,5.0,6.0,18.0,17.0,6.0,16.0,5.0,13.0,10.0,2.0,26.0,17.0,22.0,11.0,30.0,24.0,32.0,5.0,14.0,9.0,9.0,24.0,6.0,0.0
13,6.0,2.0,4.0,9.0,1.0,2.0,1.0,3.0,1.0,0.0,8.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,10.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,4.0,1.0,3.0,1.0,1.0,6.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0
14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,12.0,6.0,26.0,26.0,11.0,22.0,6.0,6.0,13.0,6.0,37.0,7.0,18.0,13.0,6.0,10.0,16.0,6.0,11.0,6.0,24.0,24.0,11.0,13.0,9.0,45.0,22.0,16.0,12.0,2.0,4.0,8.0,5.0,27.0,26.0,21.0,6.0,7.0,1.0,8.0,8.0,4.0,16.0,19.0,6.0,14.0,6.0,4.0,9.0,4.0,7.0,7.0,23.0,15.0,5.0,7.0,12.0,7.0,26.0,14.0,4.0,8.0,11.0,16.0,10.0,5.0,25.0,7.0,6.0,6.0,8.0,2.0,6.0,5.0,3.0,16.0,16.0,2.0,20.0,4.0,6.0,5.0,3.0,16.0,21.0,11.0,11.0,38.0,21.0,35.0,2.0,7.0,9.0,11.0,16.0,7.0,0.0
16,8.0,6.0,10.0,29.0,4.0,21.0,9.0,3.0,14.0,2.0,28.0,11.0,7.0,4.0,1.0,12.0,23.0,27.0,21.0,7.0,7.0,7.0,3.0,13.0,3.0,14.0,28.0,16.0,7.0,5.0,7.0,4.0,12.0,17.0,11.0,6.0,9.0,12.0,5.0,2.0,4.0,6.0,7.0,27.0,8.0,2.0,5.0,16.0,10.0,11.0,5.0,8.0,4.0,5.0,7.0,3.0,10.0,9.0,22.0,8.0,3.0,11.0,11.0,15.0,3.0,5.0,10.0,8.0,4.0,13.0,8.0,1.0,12.0,3.0,5.0,10.0,13.0,4.0,13.0,0.0,8.0,4.0,4.0,31.0,13.0,3.0,7.0,9.0,10.0,9.0,1.0,13.0,1.0,3.0,13.0,5.0,0.0
17,7.0,8.0,10.0,17.0,11.0,17.0,7.0,6.0,12.0,16.0,21.0,4.0,7.0,1.0,6.0,9.0,15.0,5.0,13.0,2.0,6.0,13.0,6.0,6.0,0.0,12.0,54.0,11.0,3.0,1.0,3.0,2.0,7.0,8.0,8.0,7.0,4.0,4.0,4.0,1.0,1.0,8.0,8.0,22.0,11.0,8.0,4.0,3.0,6.0,10.0,3.0,0.0,8.0,10.0,2.0,1.0,4.0,8.0,16.0,5.0,2.0,6.0,4.0,9.0,3.0,2.0,9.0,8.0,2.0,5.0,3.0,8.0,8.0,3.0,6.0,13.0,6.0,0.0,13.0,2.0,10.0,3.0,2.0,8.0,13.0,7.0,3.0,11.0,22.0,9.0,3.0,2.0,5.0,3.0,7.0,6.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,6.0,1.0,4.0,10.0,1.0,3.0,0.0,1.0,3.0,1.0,14.0,3.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,5.0,8.0,6.0,5.0,4.0,1.0,11.0,3.0,1.0,1.0,6.0,2.0,4.0,4.0,3.0,7.0,5.0,3.0,6.0,0.0,3.0,5.0,0.0,4.0,5.0,4.0,8.0,0.0,2.0,3.0,1.0,6.0,4.0,6.0,8.0,2.0,1.0,2.0,3.0,11.0,2.0,4.0,1.0,7.0,5.0,1.0,1.0,8.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,1.0,3.0,0.0,3.0,2.0,0.0,5.0,5.0,4.0,1.0,10.0,5.0,5.0,0.0,4.0,5.0,2.0,5.0,3.0,0.0
20,3.0,1.0,1.0,6.0,1.0,5.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0
21,2.0,3.0,5.0,5.0,0.0,4.0,0.0,0.0,7.0,0.0,7.0,2.0,0.0,2.0,3.0,1.0,3.0,3.0,5.0,1.0,2.0,7.0,4.0,1.0,0.0,6.0,8.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,6.0,15.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,10.0,0.0,0.0,4.0,3.0,0.0,6.0,4.0,4.0,0.0,1.0,5.0,3.0,9.0,6.0,0.0,2.0,3.0,10.0,1.0,0.0,4.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,6.0,1.0,1.0,1.0,0.0,3.0,20.0,7.0,2.0,8.0,4.0,6.0,1.0,0.0,0.0,3.0,7.0,4.0,0.0
22,27.0,18.0,38.0,56.0,13.0,35.0,14.0,16.0,25.0,19.0,101.0,21.0,20.0,20.0,14.0,14.0,32.0,10.0,24.0,15.0,30.0,30.0,16.0,18.0,8.0,45.0,105.0,15.0,13.0,20.0,25.0,8.0,18.0,25.0,68.0,27.0,13.0,16.0,5.0,4.0,9.0,20.0,27.0,57.0,23.0,29.0,18.0,9.0,30.0,19.0,10.0,8.0,44.0,35.0,10.0,4.0,22.0,20.0,39.0,18.0,8.0,23.0,34.0,47.0,12.0,7.0,37.0,24.0,7.0,12.0,22.0,2.0,26.0,14.0,13.0,40.0,24.0,8.0,33.0,3.0,29.0,12.0,19.0,53.0,56.0,24.0,16.0,45.0,28.0,25.0,10.0,19.0,16.0,6.0,36.0,19.0,0.0
23,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,32.0,6.0,41.0,31.0,19.0,20.0,7.0,1.0,9.0,8.0,32.0,3.0,26.0,19.0,11.0,4.0,3.0,13.0,15.0,15.0,45.0,22.0,12.0,20.0,9.0,28.0,12.0,7.0,2.0,9.0,2.0,11.0,2.0,18.0,58.0,18.0,8.0,8.0,1.0,13.0,9.0,7.0,17.0,10.0,21.0,28.0,10.0,2.0,7.0,0.0,10.0,8.0,35.0,17.0,8.0,4.0,16.0,13.0,35.0,18.0,1.0,5.0,37.0,25.0,2.0,10.0,50.0,2.0,13.0,6.0,7.0,1.0,5.0,11.0,9.0,19.0,14.0,11.0,21.0,5.0,4.0,9.0,8.0,14.0,38.0,16.0,15.0,45.0,14.0,27.0,3.0,8.0,22.0,16.0,39.0,14.0,0.0
25,9.0,11.0,23.0,18.0,3.0,10.0,2.0,3.0,6.0,2.0,27.0,6.0,13.0,12.0,6.0,7.0,6.0,4.0,6.0,4.0,13.0,15.0,11.0,12.0,5.0,19.0,14.0,12.0,8.0,5.0,5.0,4.0,9.0,11.0,22.0,12.0,4.0,4.0,1.0,2.0,4.0,4.0,10.0,7.0,6.0,13.0,6.0,0.0,7.0,5.0,6.0,8.0,21.0,4.0,4.0,4.0,8.0,4.0,16.0,6.0,4.0,3.0,9.0,12.0,1.0,5.0,15.0,4.0,2.0,6.0,5.0,3.0,7.0,1.0,4.0,14.0,7.0,1.0,15.0,5.0,9.0,5.0,5.0,10.0,26.0,8.0,8.0,26.0,9.0,9.0,2.0,5.0,8.0,5.0,21.0,9.0,0.0
26,3.0,0.0,4.0,13.0,4.0,12.0,1.0,0.0,4.0,3.0,12.0,3.0,3.0,4.0,2.0,12.0,8.0,6.0,3.0,0.0,4.0,2.0,2.0,2.0,1.0,2.0,10.0,7.0,1.0,0.0,3.0,0.0,3.0,11.0,5.0,9.0,2.0,8.0,0.0,0.0,1.0,0.0,4.0,9.0,7.0,0.0,2.0,5.0,3.0,1.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,4.0,0.0,11.0,3.0,2.0,1.0,1.0,0.0,6.0,1.0,0.0,1.0,2.0,1.0,6.0,4.0,0.0,2.0,2.0,3.0,0.0,2.0,6.0,5.0,1.0,3.0,3.0,5.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,0.0
27,16.0,26.0,33.0,184.0,21.0,153.0,17.0,16.0,56.0,35.0,222.0,60.0,43.0,13.0,9.0,60.0,123.0,62.0,54.0,16.0,20.0,28.0,66.0,33.0,11.0,68.0,219.0,49.0,44.0,12.0,40.0,18.0,73.0,76.0,31.0,95.0,19.0,70.0,10.0,5.0,7.0,36.0,41.0,108.0,74.0,9.0,18.0,37.0,47.0,51.0,19.0,18.0,18.0,28.0,3.0,10.0,7.0,46.0,42.0,37.0,41.0,82.0,23.0,90.0,7.0,4.0,25.0,23.0,9.0,32.0,42.0,4.0,67.0,11.0,19.0,104.0,105.0,7.0,61.0,3.0,46.0,27.0,29.0,106.0,87.0,18.0,30.0,44.0,109.0,22.0,21.0,29.0,23.0,14.0,20.0,26.0,0.0
28,3.0,1.0,15.0,30.0,2.0,23.0,1.0,6.0,4.0,6.0,91.0,14.0,9.0,3.0,1.0,7.0,21.0,11.0,17.0,4.0,4.0,7.0,9.0,10.0,3.0,12.0,46.0,13.0,15.0,2.0,10.0,5.0,13.0,30.0,8.0,21.0,4.0,12.0,1.0,2.0,1.0,7.0,4.0,33.0,11.0,6.0,4.0,8.0,8.0,12.0,4.0,5.0,2.0,5.0,1.0,2.0,3.0,16.0,9.0,5.0,13.0,19.0,7.0,26.0,2.0,0.0,7.0,14.0,2.0,4.0,12.0,2.0,13.0,1.0,3.0,24.0,20.0,1.0,22.0,2.0,15.0,5.0,8.0,29.0,14.0,1.0,3.0,9.0,19.0,5.0,3.0,9.0,4.0,1.0,6.0,1.0,0.0
29,13.0,6.0,11.0,16.0,7.0,30.0,6.0,5.0,14.0,3.0,43.0,7.0,15.0,16.0,5.0,8.0,9.0,9.0,12.0,3.0,17.0,17.0,16.0,11.0,1.0,16.0,37.0,16.0,6.0,11.0,9.0,1.0,8.0,20.0,13.0,36.0,10.0,7.0,2.0,4.0,4.0,6.0,10.0,15.0,7.0,3.0,4.0,4.0,19.0,4.0,5.0,8.0,12.0,11.0,3.0,3.0,2.0,6.0,26.0,10.0,1.0,3.0,9.0,15.0,4.0,7.0,14.0,5.0,3.0,4.0,8.0,0.0,5.0,8.0,7.0,19.0,6.0,4.0,7.0,1.0,8.0,6.0,2.0,17.0,26.0,13.0,8.0,23.0,6.0,15.0,2.0,2.0,10.0,7.0,6.0,8.0,0.0
30,2.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,4.0,2.0,4.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,4.0,4.0,4.0,2.0,0.0,5.0,6.0,0.0,1.0,2.0,1.0,5.0,0.0,4.0,6.0,4.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,2.0,6.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,2.0,7.0,0.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,5.0,2.0,6.0,0.0,1.0,2.0,1.0,3.0,2.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
