ihp_cluster,hsv_0,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_17,hsv_18,hsv_19,hsv_20,hsv_21,hsv_22,hsv_3_to_22_sum,total
559,4.0,184.0,382.0,0.0,1.0,1.0,11.0,6.0,1.0,2.0,2.0,11.0,8.0,2.0,16.0,2.0,6.0,5.0,1.0,24.0,13.0,1.0,2.0,115.0,1359.0
560,2.0,61.0,97.0,0.0,1.0,3.0,6.0,1.0,0.0,3.0,2.0,13.0,2.0,0.0,5.0,1.0,1.0,0.0,1.0,12.0,2.0,0.0,0.0,53.0,826.0
561,3.0,66.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,6.0,0.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,18.0,696.0
562,69.0,1652.0,1418.0,4.0,37.0,14.0,65.0,36.0,20.0,19.0,23.0,101.0,47.0,18.0,142.0,31.0,62.0,20.0,20.0,139.0,34.0,24.0,7.0,863.0,5427.0
563,17.0,693.0,356.0,2.0,0.0,1.0,5.0,4.0,6.0,3.0,2.0,4.0,15.0,3.0,80.0,6.0,14.0,1.0,2.0,31.0,7.0,1.0,0.0,187.0,2003.0
564,3.0,62.0,21.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,17.0,684.0
565,1.0,48.0,48.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,6.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,20.0,702.0
566,2.0,136.0,61.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0,0.0,14.0,0.0,6.0,0.0,2.0,3.0,0.0,0.0,0.0,34.0,833.0
567,1.0,20.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,11.0,620.0
568,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,597.0
569,2.0,27.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,619.0
570,7.0,44.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,7.0,2.0,0.0,2.0,1.0,0.0,0.0,16.0,669.0
571,2.0,36.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,634.0
572,15.0,207.0,125.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,11.0,2.0,15.0,1.0,7.0,0.0,0.0,9.0,3.0,0.0,0.0,53.0,1025.0
573,46.0,827.0,579.0,2.0,8.0,6.0,38.0,19.0,12.0,12.0,10.0,32.0,47.0,15.0,73.0,11.0,30.0,4.0,6.0,57.0,9.0,6.0,2.0,399.0,2823.0
574,1.0,41.0,39.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,677.0
575,5.0,141.0,78.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,18.0,1.0,2.0,0.0,0.0,8.0,0.0,1.0,0.0,45.0,889.0
576,5.0,48.0,57.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,0.0,4.0,4.0,0.0,1.0,1.0,7.0,1.0,0.0,0.0,34.0,754.0
577,3.0,50.0,54.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,19.0,722.0
578,26.0,558.0,297.0,3.0,2.0,0.0,4.0,4.0,1.0,0.0,1.0,5.0,13.0,14.0,66.0,2.0,22.0,0.0,4.0,16.0,8.0,1.0,0.0,166.0,1791.0
579,2.0,114.0,89.0,0.0,4.0,0.0,9.0,3.0,4.0,1.0,1.0,6.0,11.0,0.0,3.0,3.0,4.0,1.0,0.0,9.0,3.0,2.0,0.0,64.0,912.0
580,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,638.0
581,85.0,1265.0,1705.0,6.0,8.0,7.0,41.0,27.0,12.0,14.0,10.0,52.0,55.0,21.0,165.0,32.0,40.0,9.0,16.0,134.0,41.0,11.0,12.0,713.0,5062.0
582,6.0,66.0,53.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,3.0,1.0,1.0,5.0,5.0,0.0,0.0,27.0,761.0
583,24.0,363.0,257.0,1.0,4.0,1.0,9.0,7.0,8.0,5.0,1.0,5.0,11.0,5.0,25.0,6.0,8.0,2.0,4.0,26.0,2.0,0.0,0.0,130.0,1487.0
584,12.0,301.0,428.0,1.0,1.0,4.0,23.0,12.0,3.0,3.0,1.0,26.0,10.0,2.0,26.0,38.0,15.0,10.0,8.0,52.0,17.0,2.0,1.0,255.0,1835.0
585,13.0,250.0,259.0,0.0,2.0,0.0,14.0,9.0,5.0,2.0,4.0,34.0,16.0,3.0,35.0,3.0,7.0,1.0,2.0,37.0,7.0,3.0,0.0,184.0,1475.0
586,5.0,60.0,34.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,4.0,0.0,3.0,2.0,1.0,9.0,0.0,0.0,1.0,29.0,743.0
587,14.0,222.0,123.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,4.0,3.0,6.0,2.0,21.0,1.0,13.0,0.0,0.0,6.0,2.0,2.0,0.0,65.0,1076.0
588,14.0,437.0,250.0,0.0,1.0,0.0,4.0,8.0,3.0,2.0,1.0,8.0,25.0,13.0,40.0,3.0,17.0,0.0,1.0,25.0,5.0,0.0,1.0,157.0,1603.0
589,1.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,618.0
590,109.0,2057.0,2601.0,11.0,69.0,23.0,191.0,77.0,50.0,34.0,66.0,292.0,79.0,19.0,206.0,64.0,81.0,67.0,52.0,291.0,78.0,56.0,8.0,1814.0,8985.0
591,0.0,13.0,15.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,20.0,659.0
592,5.0,20.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,6.0,634.0
593,1.0,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,635.0
594,2.0,102.0,76.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,6.0,0.0,22.0,1.0,0.0,1.0,1.0,10.0,1.0,0.0,0.0,50.0,874.0
595,11.0,129.0,66.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,0.0,1.0,2.0,1.0,0.0,0.0,16.0,833.0
596,5.0,225.0,139.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,12.0,4.0,26.0,2.0,6.0,0.0,1.0,15.0,5.0,0.0,0.0,75.0,1115.0
597,0.0,21.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,15.0,666.0
598,3.0,49.0,43.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,3.0,1.0,2.0,8.0,0.0,2.0,1.0,0.0,7.0,1.0,1.0,0.0,35.0,763.0
599,2.0,9.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,631.0
600,2.0,23.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,642.0
601,11.0,369.0,157.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,5.0,8.0,3.0,34.0,9.0,16.0,0.0,1.0,20.0,5.0,0.0,0.0,108.0,1354.0
602,4.0,51.0,59.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,16.0,748.0
603,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,614.0
604,20.0,496.0,217.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,18.0,6.0,41.0,1.0,15.0,0.0,0.0,16.0,4.0,0.0,0.0,109.0,1555.0
605,166.0,2872.0,2238.0,13.0,22.0,18.0,91.0,30.0,28.0,27.0,25.0,90.0,93.0,39.0,221.0,44.0,97.0,35.0,33.0,167.0,60.0,22.0,13.0,1168.0,8217.0
606,1.0,30.0,16.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,673.0
607,1.0,7.0,25.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,11.0,662.0
608,52.0,714.0,1048.0,7.0,12.0,4.0,78.0,30.0,9.0,8.0,15.0,74.0,27.0,8.0,61.0,18.0,25.0,19.0,9.0,82.0,19.0,10.0,4.0,519.0,3460.0
609,16.0,397.0,175.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,11.0,8.0,26.0,1.0,21.0,0.0,0.0,11.0,3.0,1.0,0.0,87.0,1371.0
610,3.0,104.0,45.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,9.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,23.0,808.0
611,18.0,271.0,160.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,4.0,8.0,1.0,36.0,1.0,6.0,2.0,2.0,16.0,4.0,1.0,0.0,87.0,1234.0
612,3.0,83.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,754.0
613,3.0,35.0,49.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,4.0,1.0,2.0,2.0,0.0,5.0,1.0,0.0,0.0,22.0,744.0
614,18.0,638.0,327.0,3.0,5.0,0.0,16.0,10.0,6.0,3.0,6.0,16.0,24.0,9.0,43.0,12.0,10.0,0.0,2.0,26.0,6.0,1.0,0.0,198.0,1993.0
615,2.0,46.0,40.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,1.0,0.0,7.0,3.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,26.0,755.0
616,7.0,219.0,144.0,0.0,0.0,0.0,4.0,6.0,1.0,1.0,1.0,1.0,6.0,4.0,13.0,0.0,4.0,0.0,0.0,12.0,3.0,1.0,0.0,57.0,1100.0
617,0.0,38.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,705.0
618,0.0,12.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,10.0,655.0
619,8.0,412.0,183.0,1.0,0.0,2.0,5.0,1.0,1.0,3.0,2.0,1.0,21.0,9.0,55.0,6.0,12.0,0.0,5.0,29.0,7.0,2.0,1.0,163.0,1548.0
620,9.0,82.0,76.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,6.0,5.0,6.0,0.0,1.0,11.0,1.0,2.0,0.0,49.0,885.0
621,1.0,19.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,672.0
622,45.0,1134.0,739.0,5.0,3.0,3.0,25.0,3.0,12.0,3.0,7.0,25.0,38.0,18.0,87.0,17.0,39.0,3.0,6.0,72.0,29.0,4.0,0.0,399.0,3338.0
623,162.0,3409.0,5472.0,20.0,97.0,63.0,349.0,148.0,94.0,71.0,130.0,673.0,146.0,46.0,369.0,151.0,150.0,79.0,113.0,616.0,177.0,79.0,38.0,3609.0,16884.0
624,1.0,24.0,23.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,688.0
625,6.0,33.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,711.0
626,0.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,657.0
627,4.0,97.0,48.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7.0,0.0,6.0,0.0,1.0,3.0,2.0,0.0,0.0,24.0,824.0
628,5.0,193.0,233.0,1.0,3.0,0.0,11.0,0.0,5.0,0.0,2.0,14.0,8.0,6.0,16.0,7.0,13.0,3.0,6.0,24.0,2.0,11.0,0.0,132.0,1323.0
629,2.0,31.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,10.0,697.0
630,23.0,354.0,360.0,0.0,5.0,0.0,11.0,6.0,6.0,3.0,8.0,19.0,12.0,5.0,32.0,14.0,20.0,7.0,5.0,43.0,11.0,6.0,0.0,213.0,1793.0
631,10.0,234.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,16.0,2.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,33.0,1007.0
632,1.0,87.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,15.0,779.0
633,7.0,65.0,87.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,1.0,4.0,4.0,7.0,8.0,2.0,4.0,0.0,0.0,8.0,1.0,1.0,0.0,47.0,886.0
634,4.0,37.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,703.0
635,0.0,37.0,21.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,11.0,1.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,30.0,753.0
636,4.0,61.0,35.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,5.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,19.0,774.0
