ihp_cluster,hsv_0,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_17,hsv_18,hsv_19,hsv_20,hsv_21,hsv_22,hsv_3_to_22_sum,total
119,93,1107,504,11,3,4,20,7,11,13,11,6,37,13,75,14,34,1,4,42,6,2,5,319,2461
4,30,488,408,2,9,9,31,4,4,14,18,22,13,2,44,17,25,14,9,56,19,3,1,316,1562
7,59,1191,474,4,1,0,7,1,2,5,5,2,16,8,140,7,35,8,4,66,3,2,0,316,2363
214,97,1079,478,5,7,3,21,9,15,9,9,7,47,15,69,9,32,3,8,25,6,3,5,307,2482
21,18,554,395,3,2,2,22,1,4,6,4,18,15,3,76,19,17,9,6,76,10,6,3,302,1592
29,53,568,435,1,7,6,21,5,10,15,10,18,22,10,64,19,24,5,7,38,10,5,4,301,1687
67,86,707,374,4,5,5,15,9,8,14,3,9,27,12,70,10,39,8,5,35,4,7,1,290,1814
225,75,700,333,4,11,7,31,3,21,16,8,17,18,11,42,11,30,11,11,28,6,1,1,288,1909
97,60,733,337,2,11,5,35,7,10,7,11,27,17,11,40,9,19,5,6,43,4,8,8,285,1797
89,93,1043,430,4,1,5,17,6,9,20,8,9,27,9,57,11,37,5,4,37,4,7,3,280,2215
26,35,918,359,1,0,2,4,2,7,7,6,14,18,6,112,14,21,3,5,46,7,2,1,278,1894
228,33,901,478,5,4,2,6,3,4,4,3,8,21,3,90,13,28,2,4,59,17,2,0,278,2196
13,32,871,444,3,2,2,11,3,3,8,4,15,18,12,86,10,24,4,4,50,13,2,3,277,1914
171,39,530,418,1,6,5,16,3,12,13,6,12,14,11,46,6,23,22,13,51,13,3,1,277,1712
121,54,448,372,7,4,1,31,5,16,20,15,10,14,7,27,17,32,4,10,46,3,6,1,276,1547
152,21,656,477,2,5,3,11,4,6,5,9,22,11,4,84,12,17,3,6,48,14,9,1,276,1858
139,26,303,375,2,13,5,18,2,10,13,19,28,14,6,40,13,16,6,8,36,14,10,1,274,1391
86,10,464,331,0,1,10,24,3,10,14,10,20,21,4,49,5,14,10,5,56,8,3,4,271,1433
123,76,1203,360,2,3,2,4,2,3,6,4,5,21,12,86,8,48,4,4,37,8,5,3,267,2296
80,30,970,414,1,2,1,12,3,3,1,4,8,26,6,115,5,13,2,2,45,9,5,0,263,2020
46,25,687,426,4,3,1,16,7,6,5,4,18,18,8,54,7,26,6,11,45,9,5,2,255,1694
146,46,764,439,4,4,0,15,4,6,10,6,10,21,6,61,7,17,6,2,58,7,3,2,249,1893
159,92,908,360,3,0,4,8,1,6,2,8,8,24,14,67,10,34,2,8,28,6,3,4,240,1999
248,53,1161,497,3,1,2,15,5,9,6,1,6,24,10,58,15,36,4,4,29,4,3,1,236,2431
31,34,541,260,0,6,3,17,3,4,12,16,13,11,14,52,10,19,4,4,32,6,4,0,230,1326
156,48,1018,428,5,2,2,11,2,6,6,3,5,15,8,78,6,26,0,5,37,8,1,0,226,2102
147,22,681,363,1,7,5,20,13,2,4,7,13,8,4,61,6,16,2,9,38,4,3,1,224,1661
38,19,245,241,3,7,1,21,8,1,11,8,26,12,2,32,17,6,2,8,40,12,5,1,223,989
22,38,796,364,4,1,2,10,3,2,4,9,6,19,10,76,5,23,3,3,32,5,3,2,222,1664
90,84,989,340,2,3,1,6,2,1,3,4,3,24,11,72,14,36,1,1,26,8,0,2,220,1943
192,10,170,245,1,3,2,26,3,2,18,9,17,8,3,33,24,9,6,6,33,10,1,5,219,1055
215,66,961,315,5,0,3,13,2,4,4,3,5,21,12,66,9,43,3,1,22,2,0,0,218,1993
125,21,309,255,3,6,2,16,4,4,12,17,17,13,4,34,15,7,7,14,26,4,11,0,216,1142
155,64,791,340,3,2,2,9,2,1,4,14,15,18,7,51,10,20,3,0,37,11,1,0,210,1770
8,84,1182,525,1,0,1,7,3,8,1,5,5,19,11,60,7,28,2,2,34,6,1,2,203,2205
205,64,1074,310,0,7,1,4,0,1,3,3,1,18,9,82,6,38,0,2,21,5,0,0,201,2055
55,24,540,287,2,2,1,16,2,9,11,8,15,17,5,32,14,18,6,1,30,4,3,3,199,1304
190,11,280,262,0,3,3,14,6,2,7,12,13,6,4,39,12,15,1,5,45,5,5,1,198,1139
175,48,618,277,3,0,3,7,3,1,6,2,5,26,3,76,5,25,0,2,24,5,0,1,197,1512
82,47,806,271,4,1,1,7,2,1,6,2,5,17,11,70,7,15,3,2,33,5,0,3,195,1596
213,39,792,352,0,3,1,23,3,4,3,5,14,14,10,52,2,20,2,10,23,2,2,1,194,1784
120,6,259,307,2,4,3,19,3,5,15,11,17,10,5,27,5,7,4,3,36,9,4,2,191,1074
111,26,473,221,1,1,0,17,3,2,7,12,6,7,7,54,7,17,3,9,24,9,0,1,187,1205
183,71,831,253,5,0,0,13,2,4,0,1,5,16,12,63,8,30,1,2,16,7,0,2,187,1712
47,57,1039,286,1,1,0,2,1,0,2,1,1,19,7,76,1,36,0,3,30,3,1,0,185,1799
53,32,632,213,1,4,1,11,3,9,6,9,8,16,6,43,9,14,2,5,24,10,2,2,185,1300
222,4,118,166,3,3,5,21,6,4,7,24,13,9,3,12,7,6,6,1,34,8,7,0,179,868
106,18,540,267,5,1,0,7,5,3,3,14,13,10,9,39,5,9,3,1,36,8,2,2,175,1281
196,14,335,301,0,2,1,17,5,7,6,3,9,14,2,37,14,16,2,5,26,3,4,0,173,1192
83,48,680,313,3,0,3,18,2,5,4,2,3,16,16,34,11,22,2,5,19,1,2,2,170,1464
34,27,525,227,2,0,1,1,1,3,1,0,5,18,5,70,5,14,3,1,30,6,1,0,167,1147
170,65,726,270,3,0,3,7,2,2,9,4,4,19,4,43,2,25,2,5,21,7,0,2,164,1559
9,36,421,136,5,4,3,9,3,3,4,9,6,6,3,30,5,27,5,5,24,5,4,2,162,926
