cluster_key,cluster_id,pose_id,topic_id,input_csv,output_folder,input_ct_from_filename,input_csv_rows,ct_matches_csv,output_rows,loss_count,retention_pct,flagged_low_output,anchor_stuck,no_output_folder,multiple_runs,run_count,log_rows_total,log_rows_saved,log_skip_face,log_rows_write_failed,log_cache_hits,log_cache_misses,log_exclude_rows_before,log_exclude_dropped,log_dedupe_confirmed_dupes
c141_p11_t0,c141,p11,t0,df_sorted_c141_p11_t0_ct216.csv,clustercc141_p11_t0_1779802920.674988,216,216,True,211,5,97.7,False,False,False,False,1,,,,,,,,,
c141_p15_t0,c141,p15,t0,df_sorted_c141_p15_t0_ct257.csv,clustercc141_p15_t0_1779802934.672207,257,257,True,224,33,87.2,False,False,False,False,1,,,,,,,,,
c141_p34_t0,c141,p34,t0,df_sorted_c141_p34_t0_ct255.csv,clustercc141_p34_t0_1779802945.716463,255,255,True,237,18,92.9,False,False,False,False,1,,,,,,,,,
c142_p15_t0,c142,p15,t0,df_sorted_c142_p15_t0_ct197.csv,clustercc142_p15_t0_1779802958.681175,197,197,True,129,68,65.5,False,False,False,False,1,,,,,,,,,
c142_p58_t0,c142,p58,t0,df_sorted_c142_p58_t0_ct121.csv,clustercc142_p58_t0_1779802976.664264,121,121,True,119,2,98.3,False,False,False,False,1,,,,,,,,,
c145_p15_t0,c145,p15,t0,df_sorted_c145_p15_t0_ct212.csv,clustercc145_p15_t0_1779802985.628033,212,212,True,93,119,43.9,False,False,False,False,1,,,,,,,,,
c145_p25_t0,c145,p25,t0,df_sorted_c145_p25_t0_ct154.csv,clustercc145_p25_t0_1779802999.671505,154,154,True,113,41,73.4,False,False,False,False,1,,,,,,,,,
c145_p34_t0,c145,p34,t0,df_sorted_c145_p34_t0_ct210.csv,clustercc145_p34_t0_1779803002.3574872,210,210,True,135,75,64.3,False,False,False,False,1,,,,,,,,,
c146_p11_t0,c146,p11,t0,df_sorted_c146_p11_t0_ct270.csv,clustercc146_p11_t0_1779803019.81701,270,270,True,6,264,2.2,False,False,False,False,1,,,,,,,,,
c146_p15_t0,c146,p15,t0,df_sorted_c146_p15_t0_ct607.csv,clustercc146_p15_t0_1779803030.5527391,607,607,True,4,603,0.7,False,False,False,False,1,,,,,,,,,
c146_p28_t0,c146,p28,t0,df_sorted_c146_p28_t0_ct149.csv,clustercc146_p28_t0_1779803032.775761,149,149,True,13,136,8.7,False,False,False,False,1,,,,,,,,,
c146_p29_t0,c146,p29,t0,df_sorted_c146_p29_t0_ct169.csv,clustercc146_p29_t0_1779803046.062717,169,169,True,5,164,3.0,False,False,False,False,1,,,,,,,,,
c146_p34_t0,c146,p34,t0,df_sorted_c146_p34_t0_ct197.csv,clustercc146_p34_t0_1779803071.133413,197,197,True,8,189,4.1,False,False,False,False,1,,,,,,,,,
c146_p58_t0,c146,p58,t0,df_sorted_c146_p58_t0_ct242.csv,clustercc146_p58_t0_1779803071.18605,242,242,True,1,241,0.4,True,True,False,False,1,,,,,,,,,
c148_p11_t0,c148,p11,t0,df_sorted_c148_p11_t0_ct152.csv,clustercc148_p11_t0_1779803085.058065,152,152,True,4,148,2.6,False,False,False,False,1,,,,,,,,,
c148_p34_t0,c148,p34,t0,df_sorted_c148_p34_t0_ct224.csv,clustercc148_p34_t0_1779803141.572598,224,224,True,4,220,1.8,False,False,False,False,1,,,,,,,,,
c149_p15_t0,c149,p15,t0,df_sorted_c149_p15_t0_ct501.csv,clustercc149_p15_t0_1779803146.7960691,501,501,True,1,500,0.2,True,True,False,False,1,,,,,,,,,
c149_p282_t0,c149,p282,t0,df_sorted_c149_p282_t0_ct143.csv,clustercc149_p282_t0_1779803152.520972,143,143,True,6,137,4.2,False,False,False,False,1,,,,,,,,,
c149_p964_t0,c149,p964,t0,df_sorted_c149_p964_t0_ct86.csv,clustercc149_p964_t0_1779803186.8039072,86,86,True,8,78,9.3,False,False,False,False,1,,,,,,,,,
c150_p11_t0,c150,p11,t0,df_sorted_c150_p11_t0_ct368.csv,clustercc150_p11_t0_1779803202.436055,368,368,True,10,358,2.7,False,False,False,False,1,,,,,,,,,
c150_p15_t0,c150,p15,t0,df_sorted_c150_p15_t0_ct693.csv,clustercc150_p15_t0_1779803220.699929,693,693,True,4,689,0.6,False,False,False,False,1,,,,,,,,,
c150_p1685_t0,c150,p1685,t0,df_sorted_c150_p1685_t0_ct116.csv,clustercc150_p1685_t0_1779803236.4595509,116,116,True,6,110,5.2,False,False,False,False,1,,,,,,,,,
c150_p181_t0,c150,p181,t0,df_sorted_c150_p181_t0_ct162.csv,clustercc150_p181_t0_1779803257.407958,162,162,True,6,156,3.7,False,False,False,False,1,,,,,,,,,
c150_p28_t0,c150,p28,t0,df_sorted_c150_p28_t0_ct284.csv,clustercc150_p28_t0_1779803318.166294,284,284,True,1,283,0.4,True,True,False,False,1,,,,,,,,,
c150_p29_t0,c150,p29,t0,df_sorted_c150_p29_t0_ct169.csv,clustercc150_p29_t0_1779803319.786453,169,169,True,7,162,4.1,False,False,False,False,1,,,,,,,,,
c150_p34_t0,c150,p34,t0,df_sorted_c150_p34_t0_ct309.csv,clustercc150_p34_t0_1779803321.578353,309,309,True,6,303,1.9,False,False,False,False,1,,,,,,,,,
c150_p58_t0,c150,p58,t0,df_sorted_c150_p58_t0_ct397.csv,clustercc150_p58_t0_1779803332.64213,397,397,True,1,396,0.3,True,True,False,False,1,,,,,,,,,
c151_p15_t0,c151,p15,t0,df_sorted_c151_p15_t0_ct500.csv,clustercc151_p15_t0_1779803380.693345,500,500,True,1,499,0.2,True,True,False,False,1,,,,,,,,,
c151_p34_t0,c151,p34,t0,df_sorted_c151_p34_t0_ct196.csv,clustercc151_p34_t0_1779803384.551413,196,196,True,4,192,2.0,False,False,False,False,1,,,,,,,,,
c151_p7_t0,c151,p7,t0,df_sorted_c151_p7_t0_ct519.csv,clustercc151_p7_t0_1779803416.021537,519,519,True,1,518,0.2,True,True,False,False,1,,,,,,,,,
c153_p11_t0,c153,p11,t0,df_sorted_c153_p11_t0_ct109.csv,clustercc153_p11_t0_1779803421.408823,109,109,True,13,96,11.9,False,False,False,False,1,,,,,,,,,
c153_p15_t0,c153,p15,t0,df_sorted_c153_p15_t0_ct279.csv,clustercc153_p15_t0_1779803427.188652,279,279,True,10,269,3.6,False,False,False,False,1,,,,,,,,,
c153_p34_t0,c153,p34,t0,df_sorted_c153_p34_t0_ct153.csv,clustercc153_p34_t0_1779803462.930222,153,153,True,3,150,2.0,True,False,False,False,1,,,,,,,,,
c153_p727_t0,c153,p727,t0,df_sorted_c153_p727_t0_ct110.csv,clustercc153_p727_t0_1779803468.497674,110,110,True,12,98,10.9,False,False,False,False,1,,,,,,,,,
c153_p733_t0,c153,p733,t0,df_sorted_c153_p733_t0_ct81.csv,clustercc153_p733_t0_1779803504.26544,81,81,True,12,69,14.8,False,False,False,False,1,,,,,,,,,
c153_p960_t0,c153,p960,t0,df_sorted_c153_p960_t0_ct156.csv,clustercc153_p960_t0_1779803551.303277,156,156,True,10,146,6.4,False,False,False,False,1,,,,,,,,,
c154_p15_t0,c154,p15,t0,df_sorted_c154_p15_t0_ct338.csv,clustercc154_p15_t0_1779803594.29168,338,338,True,4,334,1.2,False,False,False,False,1,,,,,,,,,
c154_p181_t0,c154,p181,t0,df_sorted_c154_p181_t0_ct134.csv,clustercc154_p181_t0_1779803616.6502569,134,134,True,3,131,2.2,True,False,False,False,1,,,,,,,,,
c154_p28_t0,c154,p28,t0,df_sorted_c154_p28_t0_ct153.csv,clustercc154_p28_t0_1779803628.211345,153,153,True,5,148,3.3,False,False,False,False,1,,,,,,,,,
c154_p29_t0,c154,p29,t0,df_sorted_c154_p29_t0_ct262.csv,clustercc154_p29_t0_1779803665.610941,262,262,True,7,255,2.7,False,False,False,False,1,,,,,,,,,
c154_p58_t0,c154,p58,t0,df_sorted_c154_p58_t0_ct230.csv,clustercc154_p58_t0_1779803670.846456,230,230,True,4,226,1.7,False,False,False,False,1,,,,,,,,,
c154_p975_t0,c154,p975,t0,df_sorted_c154_p975_t0_ct138.csv,clustercc154_p975_t0_1779803676.8527591,138,138,True,7,131,5.1,False,False,False,False,1,,,,,,,,,
c156_p11_t0,c156,p11,t0,df_sorted_c156_p11_t0_ct370.csv,clustercc156_p11_t0_1779803685.645786,370,370,True,11,359,3.0,False,False,False,False,1,,,,,,,,,
