cluster_no,pose_no,n,pitch_median,pitch_mean,pitch_std,pitch_p5,pitch_p95,pitch_iqr,pitch_survival_pct,pitch_outlier_pct,yaw_median,yaw_mean,yaw_std,yaw_p5,yaw_p95,yaw_iqr,yaw_survival_pct,yaw_outlier_pct,roll_median,roll_mean,roll_std,roll_p5,roll_p95,roll_iqr,roll_survival_pct,roll_outlier_pct
c164_p586_t0,586,303,-23.654,-20.247,16.9151,-42.098,12.9103,20.5205,69.967,7.9208,0.284,0.8866,13.2528,-19.2204,23.7802,14.569,52.4752,6.2706,1.029,1.9169,6.8574,-8.2119,13.1604,7.2795,80.5281,4.6205
c164_p25_t0,25,236,-17.9765,-17.5445,17.4821,-41.8988,13.4028,23.1828,61.8644,5.0847,-0.253,-1.8329,13.5095,-29.4848,19.0382,11.4372,61.8644,6.7797,-0.339,-0.092,6.1428,-9.585,10.9595,5.1485,83.0508,7.6271
c164_p2263_t0,2263,434,-26.296,-22.7671,14.2964,-40.6713,4.946,18.1115,76.9585,6.682,-5.5755,-6.6133,12.8217,-31.429,12.6543,14.6345,53.9171,6.682,-1.5055,-1.1713,6.2208,-10.6689,8.2169,5.8138,86.1751,3.6866
c173_p2341_t0,2341,427,-25.895,-23.4085,13.8258,-41.78,4.6306,18.295,77.2834,8.6651,-5.277,-7.1015,12.6049,-29.8332,10.3527,14.3865,54.5667,5.8548,-0.991,-0.8956,5.5734,-9.6493,8.8206,5.6165,86.1827,5.1522
c173_p1685_t0,1685,435,-27.684,-25.5259,13.3529,-43.2273,0.5407,16.572,79.0805,7.3563,-8.009,-9.0403,11.6896,-29.7738,7.9692,13.6825,56.7816,5.2874,-1.507,-0.8549,5.9308,-8.6116,9.3035,5.355,86.4368,3.908
c173_p734_t0,734,429,-26.172,-22.908,14.2734,-40.3698,7.3124,17.513,76.69,8.1585,-0.62,-0.8751,10.1291,-17.761,15.7032,11.109,64.3357,6.2937,0.219,0.4243,5.6023,-9.327,10.1616,5.928,83.4499,5.5944
c174_p2341_t0,2341,252,-28.605,-26.1151,13.305,-44.7876,-0.739,17.0835,78.1746,6.3492,-1.9645,-2.1275,11.6615,-22.7732,16.1906,10.7543,61.1111,7.1429,0.1485,0.0427,5.297,-8.4614,7.7648,4.966,89.2857,5.9524
c174_p734_t0,734,324,-24.918,-23.0853,15.1695,-42.4064,3.7772,20.9328,69.7531,5.2469,-7.1145,-9.2725,15.9105,-37.3142,15.6087,21.3883,44.4444,4.9383,-0.588,0.2311,6.4093,-8.528,13.3403,5.529,83.9506,7.4074
c176_p2341_t0,2341,812,-26.9555,-24.0209,17.9163,-47.9132,7.8806,26.2292,61.8227,5.0493,-0.386,-0.0614,10.3265,-17.3894,17.461,9.0885,66.3793,6.2808,0.014,-0.0034,5.0631,-8.749,8.1709,4.0202,88.7931,6.1576
c181_p1685_t0,1685,346,-29.3475,-25.451,19.1844,-52.54,12.4303,20.1475,65.0289,8.0925,-0.528,0.1847,12.9396,-20.0015,23.2298,13.068,56.6474,7.5145,-0.045,-0.0321,5.5907,-9.5195,8.3668,6.2505,85.5491,5.2023
c181_p28_t0,28,319,-33.058,-29.9142,17.4581,-54.9679,-0.0211,23.9225,60.1881,4.7022,-0.677,-0.8657,9.3374,-17.772,15.5812,7.866,71.4734,7.837,-0.411,-0.4046,4.7856,-8.5021,7.3287,3.558,89.6552,6.2696
c181_p2230_t0,2230,257,-24.839,-22.8547,16.9008,-45.2668,8.9698,23.324,64.5914,5.4475,-14.975,-15.4684,13.9039,-35.6658,8.7704,17.854,45.5253,4.6693,-2.696,-2.4512,6.0183,-12.6288,8.0008,7.433,81.7121,6.2257
c185_p28_t0,28,363,-12.715,-13.7931,24.9284,-54.2402,26.7767,38.144,37.741,3.0303,20.576,18.0192,20.1506,-16.8839,47.503,29.853,26.9972,4.4077,4.756,4.8589,8.0628,-8.6864,17.9888,9.3465,75.4821,5.2342
c186_p25_t0,25,624,-24.0605,-21.8314,18.4589,-49.4262,10.2095,26.1615,56.4103,4.1667,-4.0195,-2.1668,17.9597,-28.6608,29.2618,23.8128,36.3782,4.6474,1.976,2.3249,7.6518,-10.0971,14.3493,8.2595,75.3205,5.7692
c197_p25_t0,25,266,-13.6155,-12.6,20.4186,-42.5562,20.2678,32.076,45.8647,3.7594,29.069,26.6658,15.8952,1.0503,48.6765,22.4518,37.9699,3.3835,5.713,6.4082,7.3889,-3.2992,19.317,8.3208,79.6992,6.015
c205_p25_t0,25,314,-26.1965,-23.2688,16.0849,-49.1459,5.4835,21.5003,65.9236,5.414,-0.8015,-1.2872,10.5773,-20.9102,17.3198,8.9838,65.6051,7.3248,-0.114,0.1283,5.3241,-7.7834,8.7757,4.3268,88.535,6.3694
c207_p2341_t0,2341,244,-30.639,-27.6053,14.9956,-48.5642,2.4709,19.7562,72.541,7.7869,-0.862,-0.0843,10.9512,-15.5488,18.9259,12.0422,59.8361,5.7377,-0.0165,-0.2402,5.799,-8.952,7.87,5.38,88.1148,5.7377
c207_p734_t0,734,340,-31.1285,-29.1901,16.6926,-52.2624,1.356,22.173,62.9412,5.2941,-0.6605,-0.6939,9.5812,-16.7756,16.1123,9.6178,67.9412,5.5882,-0.125,-0.2843,5.7703,-8.7991,6.8224,4.106,89.4118,5.0
