cluster_no,pose_no,n,fixed_pitch_margin,fixed_yaw_margin,fixed_roll_margin,fixed_joint_keep_count,fixed_joint_survival_pct,iqr_pitch_margin,iqr_yaw_margin,iqr_roll_margin,iqr_joint_keep_count,iqr_joint_survival_pct,std_pitch_margin,std_yaw_margin,std_roll_margin,std_joint_keep_count,std_joint_survival_pct
c100_p734_t0,734,203,15,8,8,59,29.064,19.1205,15.8865,6.556,91,44.8276,15.97,14.9464,6.1444,81,39.9015
c100_p733_t0,733,216,15,8,8,72,33.3333,22.7188,12.0245,5.5682,106,49.0741,15.9768,11.8842,6.2433,89,41.2037
c100_p2263_t0,2263,340,15,8,8,118,34.7059,21.7573,12.6745,5.401,177,52.0588,14.3614,12.6633,6.5128,136,40.0
c106_p2341_t0,2341,232,15,8,8,63,27.1552,21.9255,20.3102,7.618,128,55.1724,16.0378,16.4372,6.501,101,43.5345
c106_p25_t0,25,422,15,8,8,135,31.9905,20.7225,17.4935,5.2508,229,54.2654,16.1916,14.3732,5.7622,195,46.2085
c129_p2263_t0,2263,280,15,8,8,108,38.5714,15.8268,16.33,5.7442,139,49.6429,13.5718,13.7844,6.1476,121,43.2143
c129_p586_t0,586,231,15,8,8,67,29.0043,17.941,18.1905,6.857,118,51.0823,13.2937,14.6471,6.266,87,37.6623
c129_p727_t0,727,241,15,8,8,87,36.0996,17.493,15.274,6.18,118,48.9627,14.1908,13.2263,5.9143,99,41.0788
c129_p2341_t0,2341,236,15,8,8,54,22.8814,20.9085,23.5082,6.5495,139,58.8983,15.9161,16.0086,6.2272,96,40.678
c129_p25_t0,25,433,15,8,8,70,16.1663,31.698,19.309,9.728,262,60.5081,19.9883,13.4583,8.4374,147,33.9492
c131_p25_t0,25,309,15,8,8,118,38.1877,21.027,12.096,5.003,149,48.2201,16.2188,10.2668,5.8495,130,42.0712
c138_p1685_t0,1685,262,15,8,8,68,25.9542,21.136,20.8572,6.2555,151,57.6336,16.2656,14.4748,5.219,101,38.5496
c140_p2341_t0,2341,290,15,8,8,66,22.7586,22.7805,18.4938,6.5818,162,55.8621,17.042,13.6735,6.169,120,41.3793
c140_p734_t0,734,254,15,8,8,37,14.5669,21.7597,21.6505,9.793,125,49.2126,16.8294,15.7665,9.7121,95,37.4016
c145_p25_t0,25,231,15,8,8,51,22.0779,23.366,17.644,8.016,135,58.4416,18.3042,14.2499,6.5664,95,41.1255
c146_p28_t0,28,454,15,8,8,105,23.1278,29.5742,17.862,7.502,258,56.8282,20.6534,13.9615,6.7347,174,38.326
c150_p28_t0,28,328,15,8,8,135,41.1585,24.7338,6.2433,3.5218,155,47.2561,20.1417,7.2874,4.8839,144,43.9024
c153_p960_t0,960,241,15,8,8,48,19.917,24.672,15.628,12.218,126,52.2822,16.7491,13.3152,9.72,80,33.195
c154_p28_t0,28,248,15,8,8,89,35.8871,20.4422,11.5098,5.6888,113,45.5645,17.252,11.4237,5.2468,103,41.5323
c156_p28_t0,28,409,15,8,8,161,39.3643,18.998,12.131,4.979,191,46.6993,15.6449,11.6079,5.3492,180,44.0098
c164_p586_t0,586,303,15,8,8,104,34.3234,20.5205,14.569,7.2795,159,52.4752,16.9151,13.2528,6.8574,141,46.5347
c164_p25_t0,25,236,15,8,8,80,33.8983,23.1828,11.4372,5.1485,121,51.2712,17.4821,13.5095,6.1428,107,45.339
c164_p2263_t0,2263,434,15,8,8,161,37.0968,18.1115,14.6345,5.8138,233,53.6866,14.2964,12.8217,6.2208,192,44.2396
c173_p2341_t0,2341,427,15,8,8,162,37.9391,18.295,14.3865,5.6165,228,53.3958,13.8258,12.6049,5.5734,192,44.9649
c173_p1685_t0,1685,435,15,8,8,178,40.9195,16.572,13.6825,5.355,214,49.1954,13.3529,11.6896,5.9308,191,43.908
c173_p734_t0,734,429,15,8,8,197,45.9207,17.513,11.109,5.928,233,54.3124,14.2734,10.1291,5.6023,209,48.7179
c174_p2341_t0,2341,252,15,8,8,115,45.6349,17.0835,10.7543,4.966,123,48.8095,13.305,11.6615,5.297,118,46.8254
c174_p734_t0,734,324,15,8,8,87,26.8519,20.9328,21.3883,5.529,167,51.5432,15.1695,15.9105,6.4093,135,41.6667
c176_p2341_t0,2341,812,15,8,8,321,39.532,26.2292,9.0885,4.0202,385,47.4138,17.9163,10.3265,5.0631,350,43.1034
c181_p1685_t0,1685,346,15,8,8,123,35.5491,20.1475,13.068,6.2505,170,49.1329,19.1844,12.9396,5.5907,161,46.5318
