old_cluster_id,image_count,new_cluster_id
135135,1671,486
135136,815,487
135137,493,488
135138,1748,489
135139,508,490
135140,2291,491
135141,3896,492
135142,433,493
135143,348,494
135144,6483,495
135145,204,496
135146,362,497
135147,1078,498
135148,2195,499
135149,344,500
135150,871,501
135151,466,502
135152,471,503
135153,9766,504
135154,242,505
135155,671,506
135156,670,507
135157,837,508
135158,565,509
135159,494,510
135160,217,511
135161,259,512
135162,374,513
135163,347,514
135164,246,515
135165,519,516
135166,1374,517
135167,585,518
135168,16826,519
135169,280,520
135170,680,521
135171,318,522
135172,2919,523
135173,688,524
135174,397,525
135175,414,526
135176,12249,527
135177,485,528
135178,305,529
135179,1105,530
135180,282,531
135181,20798,532
135182,465,533
135183,362,534
135184,1097,535
135185,1540,536
135186,1725,537
135187,1938,538
135188,270,539
135189,1940,540
135190,2144,541
135191,409,542
135192,203,543
135193,1048,544
135194,231,545
135195,621,546
135196,733,547
135197,302,548
135198,243,549
135199,296,550
135200,789,551
135201,230,552
135202,1671,553
135203,2105,554
135204,321,555
135205,314,556
135206,281,557
135207,357,558
135208,2831,559
135209,205,560
135210,542,561
135211,765,562
135212,255,563
135213,4396,564
135214,229,565
135215,780,566
135216,294,567
135217,3878,568
135218,318,569
135219,336,570
135220,215,571
135221,254,572
135222,212,573
135223,1290,574
135224,799,575
135225,642,576
135226,426,577
135227,341,578
135228,577,579
135229,2979,580
135230,609,581
135231,433,582
135232,329,583
135233,303,584
135234,883,585
135235,228,586
135236,4088,587
135237,1258,588
135238,248,589
135239,1717,590
135240,457,591
135241,596,592
135242,1536,593
135243,307,594
135244,257,595
135245,249,596
135246,2958,597
135247,1362,598
135248,295,599
135249,687,600
135250,1139,601
135251,245,602
135252,817,603
135253,313,604
135254,245,605
135255,400,606
135256,619,607
135257,357,608
135258,210,609
135259,357,610
135260,2991,611
135261,208,612
135262,911,613
135263,5665,614
135264,423,615
135265,324,616
135266,395,617
135267,529,618
135268,353,619
135269,260,620
135270,354,621
135271,230,622
135272,624,623
135273,373,624
135274,212,625
135275,365,626
135276,293,627
135277,548,628
135278,419,629
135279,258,630
135280,351,631
135281,456,632
135282,1668,633
135283,438,634
135284,1004,635
135285,228,636
135286,549,637
135287,342,638
135288,284,639
135289,258,640
135290,233,641
135291,617,642
135292,14913,643
135293,2273,644
135294,1874,645
135295,8409,646
135296,1060,647
135297,311,648
135298,296,649
135299,847,650
135300,234,651
135301,360,652
135302,16419,653
135303,241,654
135304,454,655
135305,1038,656
135306,371,657
135307,1992,658
135308,253,659
135309,255,660
135310,1593,661
135311,384,662
135312,811,663
135313,1442,664
135314,311,665
135315,5330,666
135316,327,667
135317,2224,668
135318,566,669
135319,313,670
135320,319,671
135321,965,672
135322,1638,673
135323,202,674
135324,265,675
135325,1389,676
135326,200,677
135327,705,678
135328,505,679
135329,1285,680
135330,359,681
135331,298,682
135332,229,683
135333,776,684
135334,754,685
135335,374,686
135336,2490,687
135337,664,688
135338,3739,689
135339,483,690
135340,431,691
135341,536,692
135342,217,693
135343,4397,694
135344,340,695
135345,517,696
135346,322,697
135347,1027,698
135348,242,699
135349,325,700
135350,691,701
135351,737,702
135352,713,703
135353,208,704
135354,456,705
135355,2277,706
135356,256,707
135357,1142,708
135358,298,709
135359,288,710
135360,419,711
135361,479,712
135362,869,713
135363,578,714
135364,340,715
135365,804,716
135366,315,717
135367,596,718
135368,221,719
135369,643,720
135370,1817,721
135371,230,722
135372,213,723
135373,61845,724
135374,202,725
135375,328,726
135376,244,727
135377,1267,728
135378,780,729
135379,848,730
135380,712,731
135381,863,732
135382,243,733
135383,264,734
135384,993,735
135385,1587,736
135386,241,737
135387,1040,738
135388,234,739
135389,765,740
135390,1685,741
135391,557,742
135392,376,743
135393,834,744
135394,363,745
135395,250,746
135396,552,747
135397,314,748
135398,245,749
135399,338,750
135400,1588,751
135401,752,752
135402,238,753
135403,696,754
135404,245,755
135405,895,756
135406,621,757
135407,837,758
135408,845,759
135409,901,760
135410,2043,761
135411,755,762
135412,348,763
135413,1081,764
135414,1297,765
135415,458,766
135416,1030,767
135417,287,768
135418,377,769
135419,888,770
135420,283,771
135421,358,772
135422,886,773
135423,511,774
135424,201,775
135425,202,776
135426,322,777
135427,642,778
135428,404,779
135429,265,780
135430,250,781
135431,1409,782
135432,414,783
135433,10135,784
135434,202,785
135435,217,786
135436,249,787
135437,348,788
135438,205,789
135439,933,790
135440,264,791
135441,204,792
135442,278,793
135443,219,794
135444,1607,795
135445,313,796
135446,2084,797
135447,645,798
135448,316,799
135449,275,800
135450,445,801
135451,312,802
135452,376,803
135453,241,804
135454,1581,805
135455,722,806
135456,306,807
135457,1617,808
135458,223,809
135459,262,810
135460,3325,811
135461,2465,812
135462,1633,813
135463,1340,814
135464,10741,815
135465,13593,816
135466,501,817
135467,2137,818
135468,468,819
135469,984,820
135470,392,821
135471,1867,822
135472,234,823
135473,2671,824
135474,299,825
135475,208,826
135476,223,827
135477,441,828
135478,473,829
135479,615,830
135480,321,831
135481,218,832
135482,1959,833
135483,2067,834
135484,803,835
135485,963,836
135486,201,837
135487,244,838
135488,457,839
135489,216,840
135490,2469,841
135491,302,842
135492,801,843
135493,7708,844
135494,230,845
135495,659,846
135496,385,847
135497,2280,848
135498,796,849
135499,433,850
135500,747,851
135501,278,852
135502,497,853
135503,614,854
135504,236,855
